year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,1,AA,American Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",556.00,184.00,51.87,7.95,33.58,0.84,89.75,6.00,1.00,13686.00,3781.00,1071.00,1808.00,56.00,6970.00
2023,12,AA,American Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",569.00,142.00,45.69,1.56,26.78,0.88,67.10,0.00,0.00,11198.00,3560.00,67.00,1009.00,33.00,6529.00
2023,11,AA,American Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",616.00,112.00,38.14,1.95,17.33,0.41,54.18,0.00,0.00,7969.00,3222.00,50.00,623.00,75.00,3999.00
2023,10,AA,American Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",619.00,111.00,42.44,1.76,14.31,0.00,52.48,3.00,0.00,8136.00,4008.00,125.00,533.00,0.00,3470.00
2023,9,AA,American Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",530.00,142.00,44.03,6.84,21.48,0.13,69.52,3.00,0.00,10497.00,3214.00,702.00,1039.00,12.00,5530.00
2023,8,AA,American Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",604.00,182.00,56.04,4.56,25.63,1.40,94.37,23.00,1.00,15927.00,3880.00,405.00,1273.00,44.00,10325.00
2023,7,AA,American Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",598.00,252.00,62.88,14.73,53.25,1.26,119.88,8.00,3.00,22144.00,4901.00,1764.00,2708.00,43.00,12728.00
2023,6,AA,American Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",578.00,213.00,63.88,15.41,38.52,1.47,93.72,7.00,2.00,16609.00,4667.00,1312.00,2109.00,40.00,8481.00
2023,5,AA,American Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",580.00,151.00,55.20,4.81,27.54,1.11,62.35,6.00,0.00,12126.00,4041.00,670.00,1369.00,44.00,6002.00
2023,4,AA,American Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",521.00,164.00,60.01,2.84,30.01,0.00,71.14,10.00,1.00,12455.00,5041.00,420.00,1320.00,0.00,5674.00
2023,3,AA,American Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",544.00,154.00,51.64,4.60,24.71,0.00,73.06,7.00,0.00,13616.00,4738.00,1188.00,1252.00,0.00,6438.00
2023,2,AA,American Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",492.00,104.00,39.39,4.80,16.45,0.00,43.36,7.00,0.00,6759.00,2110.00,433.00,577.00,0.00,3639.00
2023,1,AA,American Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",506.00,115.00,35.04,2.15,30.19,0.00,47.62,7.00,0.00,8388.00,2159.00,293.00,1874.00,0.00,4062.00
2022,12,AA,American Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",484.00,144.00,49.75,5.84,20.07,1.99,66.35,3.00,0.00,10248.00,2964.00,576.00,918.00,43.00,5747.00
2022,11,AA,American Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",462.00,91.00,33.12,1.07,17.06,0.00,39.75,14.00,0.00,5872.00,1780.00,61.00,567.00,0.00,3464.00
2022,10,AA,American Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",478.00,79.00,29.85,0.10,12.06,0.25,36.74,2.00,0.00,5068.00,1726.00,20.00,376.00,14.00,2932.00
2022,9,AA,American Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",375.00,81.00,27.06,4.01,18.41,0.33,31.18,25.00,1.00,5582.00,2020.00,303.00,736.00,30.00,2493.00
2022,8,AA,American Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",390.00,130.00,42.95,10.91,25.99,0.00,50.15,16.00,0.00,7166.00,2250.00,624.00,1266.00,0.00,3026.00
2022,7,AA,American Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",369.00,155.00,67.46,4.05,25.89,0.00,57.60,12.00,5.00,9071.00,3530.00,212.00,1004.00,0.00,4325.00
