year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,1,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",1577.00,501.00,121.57,26.65,145.96,2.23,204.60,20.00,2.00,36297.00,9004.00,3255.00,7406.00,78.00,16554.00
2023,12,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",1566.00,328.00,97.21,2.10,105.22,2.20,121.27,0.00,2.00,18781.00,5812.00,100.00,3856.00,130.00,8883.00
2023,11,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",1489.00,219.00,70.52,1.70,68.72,0.74,77.31,0.00,2.00,12679.00,4462.00,88.00,1968.00,16.00,6145.00
2023,10,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",1518.00,259.00,94.99,4.52,50.38,0.95,108.16,3.00,0.00,17512.00,6962.00,223.00,1935.00,18.00,8374.00
2023,9,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",1380.00,304.00,84.64,12.45,84.89,1.99,120.03,16.00,13.00,25558.00,7572.00,1204.00,5271.00,145.00,11366.00
2023,8,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",1556.00,417.00,116.27,19.65,100.20,0.00,180.87,24.00,12.00,44135.00,11845.00,2606.00,6022.00,0.00,23662.00
2023,7,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",1580.00,590.00,161.19,33.14,183.71,1.57,210.39,27.00,10.00,58592.00,20365.00,2955.00,12149.00,230.00,22893.00
2023,6,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",1510.00,508.00,127.21,22.66,165.89,1.20,191.04,26.00,15.00,46915.00,10821.00,3169.00,11905.00,84.00,20936.00
2023,5,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",1514.00,380.00,128.89,13.11,81.06,0.40,156.54,6.00,9.00,30361.00,11083.00,1227.00,3874.00,13.00,14164.00
2023,4,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",1498.00,415.00,114.12,19.95,111.61,1.45,167.87,15.00,3.00,30463.00,8305.00,1667.00,6242.00,35.00,14214.00
2023,3,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",1528.00,431.00,121.56,7.67,129.17,1.14,171.46,8.00,3.00,31159.00,9585.00,688.00,6856.00,37.00,13993.00
2023,2,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",1389.00,305.00,102.08,11.32,62.92,0.57,128.11,12.00,2.00,19435.00,7835.00,1112.00,2265.00,24.00,8199.00
2023,1,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",1475.00,305.00,82.63,10.23,99.40,1.62,111.13,38.00,0.00,18437.00,4521.00,722.00,4929.00,84.00,8181.00
2022,12,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",1510.00,464.00,153.58,13.48,107.43,3.34,186.17,15.00,3.00,33994.00,12647.00,1306.00,4535.00,211.00,15295.00
2022,11,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",1526.00,304.00,108.81,6.58,84.50,0.00,104.11,95.00,0.00,18706.00,6707.00,388.00,2814.00,0.00,8797.00
2022,10,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",1448.00,233.00,92.67,8.95,42.00,0.24,89.14,2.00,0.00,15365.00,5324.00,848.00,1706.00,4.00,7483.00
2022,9,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",1305.00,329.00,103.66,19.92,101.45,0.51,103.46,112.00,8.00,21527.00,7025.00,1980.00,4198.00,17.00,8307.00
2022,8,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",1443.00,415.00,116.78,23.22,147.01,1.26,126.74,28.00,8.00,26412.00,7207.00,1548.00,7699.00,132.00,9826.00
2022,7,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",1485.00,521.00,156.55,16.86,169.19,1.78,176.62,21.00,5.00,33769.00,9362.00,1636.00,8027.00,63.00,14681.00
2022,6,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",1445.00,510.00,173.61,31.75,151.54,1.13,151.97,70.00,17.00,35571.00,11940.00,2998.00,8390.00,54.00,12189.00
2022,5,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",1473.00,346.00,122.08,20.05,112.69,1.15,90.03,23.00,3.00,19897.00,7020.00,1166.00,4907.00,61.00,6743.00
