year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,1,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",5281.00,1552.00,398.96,55.84,650.19,4.09,442.92,69.00,5.00,122579.00,44375.00,7237.00,25998.00,266.00,44703.00
2023,12,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4883.00,1069.00,302.08,12.15,513.19,6.26,235.31,0.00,5.00,66856.00,25618.00,790.00,16374.00,192.00,23882.00
2023,11,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4538.00,592.00,209.25,5.20,212.96,2.71,161.88,0.00,5.00,40731.00,16286.00,904.00,6332.00,85.00,17124.00
2023,10,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4325.00,601.00,218.50,10.87,213.88,6.92,150.83,3.00,16.00,42898.00,19364.00,713.00,7465.00,237.00,15119.00
2023,9,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4049.00,788.00,215.35,35.57,332.36,3.54,201.19,31.00,37.00,55904.00,17155.00,3519.00,15732.00,107.00,19391.00
2023,8,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4604.00,1094.00,315.59,30.91,351.33,6.24,389.93,86.00,34.00,102683.00,31859.00,3022.00,20060.00,366.00,47376.00
2023,7,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4602.00,1324.00,325.20,72.20,453.94,2.31,470.36,84.00,32.00,111924.00,27001.00,7100.00,22119.00,163.00,55541.00
2023,6,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4422.00,1250.00,317.40,57.43,423.41,3.80,447.96,131.00,73.00,121187.00,33047.00,5708.00,22680.00,223.00,59529.00
2023,5,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4466.00,803.00,258.04,20.38,245.58,4.72,274.27,13.00,29.00,67741.00,22736.00,1750.00,10037.00,252.00,32966.00
2023,4,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4228.00,1080.00,244.39,31.83,465.34,4.26,334.19,32.00,21.00,86825.00,22503.00,3542.00,23216.00,318.00,37246.00
2023,3,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4369.00,973.00,278.09,14.16,350.35,2.27,328.13,10.00,3.00,72656.00,24923.00,1140.00,14293.00,126.00,32174.00
2023,2,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",3989.00,685.00,257.56,21.88,172.60,3.69,229.28,20.00,11.00,55514.00,23314.00,1972.00,6168.00,66.00,23994.00
2023,1,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4297.00,856.00,268.55,22.49,336.78,3.62,224.55,40.00,4.00,68370.00,24561.00,1419.00,22287.00,92.00,20011.00
2022,12,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4160.00,956.00,372.07,38.18,252.06,4.27,289.42,23.00,9.00,70992.00,30634.00,3823.00,8822.00,185.00,27528.00
2022,11,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",3995.00,820.00,266.59,11.65,288.25,4.11,249.41,33.00,24.00,60048.00,22863.00,796.00,10272.00,140.00,25977.00
2022,10,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4308.00,683.00,233.93,7.67,190.49,3.20,247.71,15.00,7.00,53584.00,17173.00,949.00,9009.00,105.00,26348.00
2022,9,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4211.00,1006.00,256.11,25.33,428.19,3.60,292.77,170.00,7.00,64601.00,19644.00,1986.00,15822.00,140.00,27009.00
2022,8,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4423.00,1008.00,346.83,49.58,298.40,7.25,305.95,117.00,13.00,72545.00,28321.00,4494.00,11047.00,580.00,28103.00
2022,7,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4573.00,1155.00,384.97,51.97,312.13,3.45,402.48,137.00,15.00,91605.00,37673.00,5317.00,13138.00,114.00,35363.00
2022,6,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4451.00,1355.00,435.30,70.05,458.55,1.75,389.35,374.00,38.00,114252.00,44877.00,7382.00,25828.00,70.00,36095.00
2022,5,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4921.00,992.00,305.82,36.99,367.06,0.95,281.18,131.00,35.00,70257.00,25492.00,3678.00,16675.00,29.00,24383.00
2022,4,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4880.00,1063.00,305.31,31.04,423.39,5.51,297.75,208.00,29.00,88535.00,29897.00,3286.00,24827.00,170.00,30355.00
2022,3,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",5378.00,1252.00,299.82,31.29,582.99,6.83,331.07,43.00,7.00,97608.00,35630.00,2630.00,26922.00,325.00,32101.00
2022,2,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4998.00,1323.00,399.22,40.78,550.44,5.35,327.21,260.00,8.00,101443.00,38679.00,6377.00,23383.00,195.00,32809.00
2022,1,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",5475.00,1283.00,380.42,28.21,537.74,5.19,331.44,235.00,8.00,99234.00,43103.00,2182.00,20646.00,257.00,33046.00
2021,12,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",5387.00,1042.00,358.61,9.86,333.53,6.82,333.19,52.00,6.00,84647.00,39026.00,956.00,11500.00,327.00,32838.00
2021,11,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",5185.00,1149.00,402.72,6.76,395.91,6.14,337.46,109.00,12.00,76112.00,35450.00,401.00,13470.00,160.00,26631.00
2021,10,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4293.00,775.00,307.74,12.49,162.97,4.92,286.88,151.00,4.00,61960.00,26518.00,676.00,6360.00,213.00,28193.00
2021,9,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",3210.00,487.00,195.48,17.21,137.83,3.35,133.13,26.00,3.00,36115.00,17437.00,2162.00,4965.00,131.00,11420.00
2021,8,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",3631.00,855.00,318.88,46.27,244.86,5.69,239.30,91.00,12.00,73249.00,33750.00,4003.00,12044.00,309.00,23143.00
2021,7,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",3946.00,859.00,304.35,43.75,222.08,6.10,282.72,37.00,21.00,71635.00,29147.00,3935.00,8212.00,300.00,30041.00
2021,6,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",3821.00,857.00,309.02,45.86,233.91,5.45,262.75,115.00,24.00,71837.00,28798.00,4447.00,11853.00,158.00,26581.00
2021,5,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4186.00,540.00,232.91,15.97,154.94,6.75,129.43,7.00,16.00,43134.00,24016.00,1208.00,5231.00,178.00,12501.00
2021,4,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",3666.00,355.00,156.88,13.17,98.67,2.73,83.55,69.00,9.00,29722.00,14871.00,1521.00,4033.00,120.00,9177.00
2021,3,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",3132.00,277.00,134.38,5.97,79.25,3.35,54.04,5.00,4.00,20994.00,11116.00,607.00,2508.00,170.00,6593.00
2021,2,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",2205.00,298.00,92.99,33.45,131.07,4.88,35.62,50.00,0.00,23707.00,9082.00,2742.00,5185.00,287.00,6411.00
2021,1,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",2447.00,204.00,107.45,8.57,55.32,1.00,31.66,2.00,4.00,17479.00,11437.00,373.00,2544.00,34.00,3091.00
2020,12,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",2415.00,233.00,119.46,7.96,88.00,3.00,14.58,12.00,1.00,15089.00,8313.00,311.00,3123.00,81.00,3261.00
2020,11,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",2331.00,191.00,83.64,4.62,76.28,1.35,25.12,3.00,3.00,11010.00,6226.00,536.00,2232.00,35.00,1981.00
2020,10,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",1757.00,213.00,103.06,3.85,80.03,3.51,22.56,2.00,6.00,11908.00,7616.00,67.00,2177.00,111.00,1937.00
2020,9,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",1738.00,165.00,70.57,8.37,59.41,8.29,18.36,3.00,3.00,6698.00,3076.00,350.00,1638.00,304.00,1330.00
2020,8,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",2220.00,147.00,69.17,9.55,47.55,4.13,16.60,6.00,6.00,7509.00,4019.00,611.00,1413.00,107.00,1359.00
2020,7,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",2991.00,193.00,75.88,19.55,55.90,1.00,40.67,49.00,8.00,14336.00,6933.00,1384.00,1768.00,19.00,4232.00
2020,6,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",1869.00,90.00,53.43,9.30,10.86,0.00,16.41,0.00,1.00,8639.00,5423.00,674.00,538.00,0.00,2004.00
2020,5,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",1213.00,43.00,21.90,2.48,7.75,2.00,8.88,0.00,8.00,2793.00,1477.00,123.00,241.00,32.00,920.00
2020,4,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",2393.00,73.00,53.68,2.72,7.32,1.00,8.28,886.00,1.00,6142.00,5054.00,156.00,257.00,36.00,639.00
2020,3,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4299.00,282.00,119.75,4.58,72.22,0.00,85.45,745.00,5.00,22694.00,12802.00,367.00,2258.00,0.00,7267.00
2020,2,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4113.00,570.00,203.98,10.31,191.86,3.99,159.86,20.00,2.00,45620.00,20988.00,984.00,7272.00,253.00,16123.00
