year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,1,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",414.00,90.00,42.54,4.44,24.04,0.00,18.98,2.00,0.00,4885.00,2409.00,428.00,838.00,0.00,1210.00
2023,12,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",482.00,67.00,34.45,0.03,12.45,0.00,20.06,0.00,2.00,4553.00,2459.00,15.00,493.00,0.00,1586.00
2023,11,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",468.00,53.00,30.91,0.00,8.77,0.00,13.32,0.00,1.00,3058.00,1949.00,0.00,458.00,0.00,651.00
2023,10,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",500.00,57.00,36.94,0.00,4.97,0.00,15.08,0.00,1.00,3267.00,2141.00,0.00,141.00,0.00,985.00
2023,9,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",467.00,84.00,44.92,2.59,15.90,0.00,20.59,7.00,2.00,6620.00,3953.00,259.00,939.00,0.00,1469.00
2023,8,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",439.00,120.00,66.56,5.75,22.91,0.00,24.79,16.00,1.00,7739.00,4565.00,435.00,1203.00,0.00,1536.00
2023,7,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",467.00,173.00,95.21,2.62,27.01,0.00,48.16,5.00,2.00,11679.00,5956.00,553.00,1268.00,0.00,3902.00
2023,6,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",464.00,165.00,89.18,3.11,22.06,0.00,50.65,10.00,0.00,12111.00,7255.00,227.00,1064.00,0.00,3565.00
2023,5,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",519.00,80.00,54.21,0.00,6.59,0.00,19.19,4.00,0.00,3798.00,2880.00,0.00,256.00,0.00,662.00
2023,4,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",394.00,108.00,69.17,1.62,15.00,0.00,22.21,8.00,0.00,4903.00,3102.00,226.00,525.00,0.00,1050.00
2023,3,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",421.00,108.00,55.85,3.64,27.64,0.00,20.87,7.00,0.00,5685.00,2814.00,531.00,974.00,0.00,1366.00
2023,2,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",371.00,40.00,23.22,3.79,4.77,0.00,8.22,1.00,2.00,2649.00,1782.00,243.00,191.00,0.00,433.00
2023,1,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",398.00,88.00,42.97,5.46,23.77,0.00,15.80,1.00,0.00,7128.00,3228.00,1216.00,1705.00,0.00,979.00
2022,12,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",400.00,68.00,46.97,1.28,9.79,0.00,9.97,4.00,0.00,3486.00,2375.00,242.00,320.00,0.00,549.00
2022,11,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",395.00,51.00,26.04,0.00,16.81,0.00,8.15,0.00,0.00,1810.00,1221.00,0.00,406.00,0.00,183.00
2022,10,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",386.00,63.00,31.21,0.95,13.52,0.00,17.32,1.00,1.00,3492.00,2180.00,22.00,390.00,0.00,900.00
2022,9,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",346.00,38.00,24.01,0.00,8.39,1.00,4.60,26.00,0.00,1270.00,771.00,0.00,224.00,49.00,226.00
2022,8,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",319.00,57.00,38.13,3.25,9.07,0.00,6.54,2.00,0.00,3544.00,2510.00,235.00,291.00,0.00,508.00
2022,7,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",405.00,114.00,71.87,0.85,21.96,0.00,19.31,2.00,0.00,7945.00,5633.00,266.00,848.00,0.00,1198.00
2022,6,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",473.00,107.00,63.03,8.54,17.28,0.00,18.14,13.00,1.00,7229.00,4230.00,870.00,983.00,0.00,1146.00
2022,5,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",425.00,87.00,61.86,1.60,8.80,0.00,14.74,9.00,1.00,5756.00,4636.00,40.00,324.00,0.00,756.00
2022,4,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",377.00,73.00,42.60,1.78,17.00,0.00,11.62,6.00,0.00,4337.00,2266.00,85.00,805.00,0.00,1181.00
2022,3,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",361.00,95.00,52.88,4.94,14.73,0.00,22.44,0.00,2.00,4396.00,2415.00,393.00,562.00,0.00,1026.00
2022,2,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",284.00,33.00,24.52,0.40,5.29,0.00,2.79,0.00,0.00,1242.00,939.00,42.00,196.00,0.00,65.00
2022,1,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",329.00,60.00,34.57,1.59,16.14,0.00,7.69,7.00,0.00,3610.00,2208.00,69.00,607.00,0.00,726.00
2021,12,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",336.00,59.00,36.30,2.78,10.47,0.00,9.44,6.00,1.00,2671.00,1726.00,114.00,329.00,0.00,502.00
2021,11,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",327.00,47.00,31.49,0.83,8.39,1.00,5.28,0.00,0.00,1988.00,1510.00,25.00,171.00,65.00,217.00
2021,10,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",350.00,51.00,33.70,4.75,4.60,0.00,7.95,1.00,1.00,3055.00,1966.00,288.00,296.00,0.00,505.00
2021,9,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",322.00,46.00,33.31,0.00,5.30,0.00,7.39,0.00,0.00,1785.00,1365.00,0.00,159.00,0.00,261.00
2021,8,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",330.00,37.00,23.93,2.41,3.62,0.00,7.04,0.00,2.00,1733.00,1141.00,94.00,165.00,0.00,333.00
2021,7,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",335.00,57.00,31.88,3.87,11.58,0.00,9.67,0.00,1.00,3589.00,1743.00,762.00,376.00,0.00,708.00
2021,6,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",296.00,43.00,28.39,2.00,8.71,0.00,3.90,0.00,1.00,2133.00,1449.00,44.00,405.00,0.00,235.00
2021,5,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",279.00,28.00,14.40,2.65,4.77,0.00,6.18,0.00,1.00,1700.00,922.00,175.00,187.00,0.00,416.00
2021,4,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",260.00,22.00,11.06,1.00,4.82,0.00,5.13,1.00,0.00,1544.00,732.00,206.00,239.00,0.00,367.00
2021,3,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",270.00,23.00,13.93,1.87,7.00,0.00,0.20,0.00,0.00,937.00,571.00,108.00,255.00,0.00,3.00
2021,2,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",260.00,24.00,10.62,2.00,10.75,0.00,0.63,0.00,2.00,1139.00,721.00,51.00,357.00,0.00,10.00
2021,1,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",264.00,31.00,14.71,0.00,11.78,0.00,4.51,0.00,0.00,1775.00,697.00,0.00,786.00,0.00,292.00
2020,12,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",286.00,32.00,16.02,0.00,9.75,0.00,6.23,3.00,0.00,1132.00,688.00,0.00,266.00,0.00,178.00
2020,11,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",260.00,16.00,8.30,0.00,2.32,0.00,5.38,8.00,0.00,717.00,420.00,0.00,87.00,0.00,210.00
2020,10,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",215.00,15.00,9.36,0.82,1.38,0.00,3.45,0.00,0.00,603.00,422.00,31.00,40.00,0.00,110.00
2020,9,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",202.00,8.00,7.17,0.00,0.41,0.00,0.43,0.00,0.00,342.00,278.00,0.00,21.00,0.00,43.00
2020,8,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",245.00,28.00,13.42,2.91,9.37,0.00,2.30,1.00,0.00,1411.00,599.00,169.00,494.00,0.00,149.00
2020,7,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",184.00,13.00,5.32,0.81,6.32,0.00,0.55,4.00,0.00,661.00,238.00,120.00,282.00,0.00,21.00
2020,6,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",118.00,7.00,3.69,0.00,1.31,0.00,2.00,0.00,0.00,283.00,128.00,0.00,81.00,0.00,74.00
