year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,1,DL,Delta Air Lines Inc.,MCO,"Orlando, FL: Orlando International",1872.00,440.00,147.74,16.47,194.73,1.00,80.06,5.00,3.00,29520.00,11649.00,1544.00,8168.00,55.00,8104.00
2023,12,DL,Delta Air Lines Inc.,MCO,"Orlando, FL: Orlando International",1926.00,276.00,117.35,4.57,109.92,1.00,43.16,0.00,0.00,15558.00,8269.00,463.00,3578.00,30.00,3218.00
2023,11,DL,Delta Air Lines Inc.,MCO,"Orlando, FL: Orlando International",1739.00,178.00,88.17,0.60,60.60,0.00,28.64,0.00,5.00,9113.00,5807.00,9.00,1703.00,0.00,1594.00
2023,10,DL,Delta Air Lines Inc.,MCO,"Orlando, FL: Orlando International",1696.00,169.00,102.36,1.00,33.50,0.00,32.14,1.00,0.00,9724.00,6565.00,88.00,912.00,0.00,2159.00
2023,9,DL,Delta Air Lines Inc.,MCO,"Orlando, FL: Orlando International",1565.00,294.00,105.59,4.80,120.55,0.00,63.06,11.00,12.00,19703.00,6398.00,620.00,8023.00,0.00,4662.00
2023,8,DL,Delta Air Lines Inc.,MCO,"Orlando, FL: Orlando International",1723.00,398.00,157.36,14.80,134.67,0.00,91.17,12.00,8.00,25221.00,10291.00,1699.00,7313.00,0.00,5918.00
2023,7,DL,Delta Air Lines Inc.,MCO,"Orlando, FL: Orlando International",1760.00,637.00,221.08,15.87,232.97,0.00,167.08,29.00,18.00,46408.00,14878.00,1945.00,16099.00,0.00,13486.00
2023,6,DL,Delta Air Lines Inc.,MCO,"Orlando, FL: Orlando International",1672.00,512.00,199.65,15.92,170.80,1.83,123.80,50.00,19.00,39926.00,17087.00,1387.00,11846.00,78.00,9528.00
2023,5,DL,Delta Air Lines Inc.,MCO,"Orlando, FL: Orlando International",1737.00,312.00,149.21,6.84,81.43,1.00,73.51,8.00,6.00,20204.00,10769.00,1071.00,3851.00,89.00,4424.00
2023,4,DL,Delta Air Lines Inc.,MCO,"Orlando, FL: Orlando International",1775.00,445.00,176.16,3.96,151.33,0.00,113.55,38.00,5.00,27804.00,12380.00,499.00,7272.00,0.00,7653.00
2023,3,DL,Delta Air Lines Inc.,MCO,"Orlando, FL: Orlando International",1858.00,498.00,179.81,7.27,191.79,0.00,119.14,31.00,2.00,33145.00,14612.00,484.00,9552.00,0.00,8497.00
2023,2,DL,Delta Air Lines Inc.,MCO,"Orlando, FL: Orlando International",1567.00,291.00,109.35,11.05,87.76,0.70,82.13,16.00,1.00,18505.00,9453.00,1306.00,3386.00,69.00,4291.00
2023,1,DL,Delta Air Lines Inc.,MCO,"Orlando, FL: Orlando International",1742.00,406.00,159.53,12.75,134.47,0.00,99.25,14.00,0.00,31161.00,14473.00,1216.00,8264.00,0.00,7208.00
2022,12,DL,Delta Air Lines Inc.,MCO,"Orlando, FL: Orlando International",1698.00,447.00,193.59,15.60,118.00,0.00,119.82,36.00,0.00,26411.00,12939.00,1159.00,4611.00,0.00,7702.00
2022,11,DL,Delta Air Lines Inc.,MCO,"Orlando, FL: Orlando International",1467.00,256.00,92.39,2.98,108.64,0.61,51.37,80.00,0.00,12337.00,5571.00,334.00,3275.00,35.00,3122.00
