year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,1,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",1004.00,345.00,97.47,9.86,193.88,0.87,42.91,2.00,1.00,17427.00,6024.00,1192.00,7371.00,62.00,2778.00
2023,12,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",999.00,251.00,74.34,1.07,140.36,0.00,35.22,0.00,0.00,11032.00,4104.00,119.00,4520.00,0.00,2289.00
2023,11,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",886.00,121.00,49.33,0.00,56.22,0.00,15.45,0.00,0.00,6741.00,4089.00,0.00,1744.00,0.00,908.00
2023,10,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",847.00,121.00,53.20,2.05,45.61,0.00,20.14,0.00,0.00,6400.00,2860.00,281.00,1851.00,0.00,1408.00
2023,9,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",805.00,218.00,67.02,2.37,106.99,0.00,41.62,13.00,12.00,13146.00,3526.00,263.00,5473.00,0.00,3884.00
2023,8,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",840.00,214.00,76.11,7.03,83.74,0.00,47.12,6.00,7.00,14702.00,6604.00,325.00,4244.00,0.00,3529.00
2023,7,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",881.00,326.00,122.56,9.37,114.39,0.45,79.23,21.00,3.00,23915.00,10283.00,770.00,6039.00,35.00,6788.00
2023,6,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",846.00,273.00,102.84,8.83,104.90,0.00,56.43,38.00,20.00,19781.00,7723.00,688.00,6397.00,0.00,4973.00
2023,5,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",877.00,184.00,79.76,3.70,67.69,0.00,32.85,4.00,3.00,10110.00,5251.00,310.00,2666.00,0.00,1883.00
2023,4,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",846.00,280.00,87.29,3.00,132.92,0.00,56.79,25.00,3.00,15406.00,5909.00,165.00,5906.00,0.00,3426.00
2023,3,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",853.00,241.00,72.19,4.98,95.67,1.00,67.16,16.00,1.00,14562.00,5063.00,466.00,5027.00,60.00,3946.00
2023,2,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",731.00,178.00,73.72,3.34,62.67,0.00,38.27,5.00,0.00,9552.00,5451.00,325.00,2104.00,0.00,1672.00
2023,1,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",807.00,217.00,87.90,5.33,80.73,0.97,42.06,3.00,1.00,14114.00,6083.00,1315.00,3926.00,104.00,2686.00
2022,12,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",775.00,185.00,86.72,5.87,62.95,0.00,29.46,16.00,0.00,10239.00,5437.00,361.00,2607.00,0.00,1834.00
2022,11,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",649.00,135.00,51.78,0.76,60.11,0.83,21.52,1.00,1.00,6968.00,3628.00,47.00,2070.00,60.00,1163.00
2022,10,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",644.00,115.00,54.95,0.06,43.78,1.00,15.22,2.00,2.00,6855.00,3154.00,9.00,2621.00,30.00,1041.00
2022,9,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",631.00,152.00,64.08,0.53,62.50,0.00,24.89,1.00,0.00,7936.00,3877.00,8.00,2302.00,0.00,1749.00
2022,8,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",648.00,138.00,58.59,4.45,47.19,0.00,27.76,2.00,0.00,9121.00,5151.00,233.00,1905.00,0.00,1832.00
