arr_del15,carrier_ct,security_delay,arr_flights,carrier_delay,arr_diverted,weather_ct,security_ct,nas_ct,arr_cancelled,late_aircraft_ct,arr_delay,weather_delay,nas_delay,late_aircraft_delay
121,49.33,0,886,4089,0,0,0,56.22,0,15.45,6741,0,1744,908
121,53.2,0,847,2860,0,2.05,0,45.61,0,20.14,6400,281,1851,1408
218,67.02,0,805,3526,12,2.37,0,106.99,13,41.62,13146,263,5473,3884
214,76.11,0,840,6604,7,7.03,0,83.74,6,47.12,14702,325,4244,3529
326,122.56,35,881,10283,3,9.37,0.45,114.39,21,79.23,23915,770,6039,6788
273,102.84,0,846,7723,20,8.83,0,104.9,38,56.43,19781,688,6397,4973
184,79.76,0,877,5251,3,3.7,0,67.69,4,32.85,10110,310,2666,1883
280,87.29,0,846,5909,3,3,0,132.92,25,56.79,15406,165,5906,3426
241,72.19,60,853,5063,1,4.98,1,95.67,16,67.16,14562,466,5027,3946
178,73.72,0,731,5451,0,3.34,0,62.67,5,38.27,9552,325,2104,1672
217,87.9,104,807,6083,1,5.33,0.97,80.73,3,42.06,14114,1315,3926,2686
185,86.72,0,775,5437,0,5.87,0,62.95,16,29.46,10239,361,2607,1834
135,51.78,60,649,3628,1,0.76,0.83,60.11,1,21.52,6968,47,2070,1163
115,54.95,30,644,3154,2,0.06,1,43.78,2,15.22,6855,9,2621,1041
152,64.08,0,631,3877,0,0.53,0,62.5,1,24.89,7936,8,2302,1749
138,58.59,0,648,5151,0,4.45,0,47.19,2,27.76,9121,233,1905,1832
158,68.98,0,686,4254,3,8.13,0,43.02,15,37.87,9117,735,1632,2496
214,82.37,33,701,5848,10,5.04,1,76.49,57,49.1,14648,485,3855,4427
160,73.04,0,758,8389,4,2.09,0,55.11,35,29.76,13364,128,2968,1879
216,75.57,0,737,5810,3,1.52,0,92.83,20,46.08,15917,76,6382,3649
240,76.27,0,746,5684,1,5.07,0,112.87,11,45.78,15772,447,5831,3810
137,45.87,0,642,2452,1,5.05,0,56.81,3,29.28,7117,439,2202,2024
156,58.66,0,717,3863,0,2.42,0,66.11,31,28.81,8937,443,2769,1862
147,67.21,0,733,4781,1,5.44,0,50.39,10,23.96,8903,745,2231,1146
142,55.04,108,671,3042,0,0.02,1,61.08,0,24.86,6068,1,1818,1099
89,40.69,33,664,2556,2,1.4,1,31.92,0,13.99,4683,67,1244,783
98,32.63,220,646,1828,1,0.97,2,45.78,4,16.62,6487,1042,2165,1232
138,53.47,123,723,3209,2,5.93,0.76,54.17,0,23.67,8810,503,3261,1714
148,63.23,0,744,3390,3,9.65,0,48.71,2,26.41,9462,1594,2230,2248
137,55.59,78,749,4162,8,4.25,0.91,52.27,0,23.99,8144,331,2050,1523
66,28.08,0,824,1709,6,5.83,0,20.4,0,11.69,3722,268,1030,715
102,42.89,0,840,2346,3,5.37,0,33.04,20,20.7,8583,1249,3020,1968
63,22.9,132,873,1688,0,1.69,2.09,27.93,0,8.4,3252,74,960,398
76,23.92,90,642,1463,0,1.84,2,41,19,7.24,3633,123,1430,527
