year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,1,WN,Southwest Airlines Co.,JAX,"Jacksonville, FL: Jacksonville International",379.00,102.00,36.06,1.51,17.75,0.91,45.77,10.00,0.00,4842.00,1407.00,155.00,922.00,21.00,2337.00
2023,12,WN,Southwest Airlines Co.,JAX,"Jacksonville, FL: Jacksonville International",427.00,92.00,33.66,0.00,20.64,0.00,37.70,1.00,0.00,3621.00,1127.00,0.00,670.00,0.00,1824.00
2023,11,WN,Southwest Airlines Co.,JAX,"Jacksonville, FL: Jacksonville International",406.00,62.00,30.40,0.00,9.99,0.00,21.61,0.00,0.00,2416.00,1265.00,0.00,332.00,0.00,819.00
2023,10,WN,Southwest Airlines Co.,JAX,"Jacksonville, FL: Jacksonville International",404.00,71.00,23.61,1.00,4.41,0.49,41.49,0.00,0.00,3791.00,1095.00,123.00,180.00,39.00,2354.00
2023,9,WN,Southwest Airlines Co.,JAX,"Jacksonville, FL: Jacksonville International",356.00,82.00,34.06,1.57,12.59,0.00,33.78,2.00,2.00,3834.00,1321.00,163.00,425.00,0.00,1925.00
2023,8,WN,Southwest Airlines Co.,JAX,"Jacksonville, FL: Jacksonville International",357.00,90.00,36.56,1.06,15.13,0.00,37.25,12.00,1.00,3703.00,1560.00,43.00,452.00,0.00,1648.00
2023,7,WN,Southwest Airlines Co.,JAX,"Jacksonville, FL: Jacksonville International",376.00,139.00,37.71,3.45,27.20,0.00,70.64,1.00,5.00,8293.00,1784.00,408.00,1025.00,0.00,5076.00
2023,6,WN,Southwest Airlines Co.,JAX,"Jacksonville, FL: Jacksonville International",362.00,122.00,51.86,1.90,22.84,0.00,45.40,3.00,1.00,5572.00,2246.00,99.00,886.00,0.00,2341.00
2023,5,WN,Southwest Airlines Co.,JAX,"Jacksonville, FL: Jacksonville International",334.00,86.00,36.68,0.83,11.41,0.00,37.09,2.00,0.00,3808.00,1507.00,241.00,374.00,0.00,1686.00
2023,4,WN,Southwest Airlines Co.,JAX,"Jacksonville, FL: Jacksonville International",330.00,98.00,38.51,0.00,11.47,1.90,46.12,0.00,0.00,6041.00,2083.00,0.00,409.00,115.00,3434.00
2023,3,WN,Southwest Airlines Co.,JAX,"Jacksonville, FL: Jacksonville International",322.00,82.00,28.00,0.65,16.85,0.00,36.50,1.00,0.00,3565.00,1406.00,86.00,520.00,0.00,1553.00
2023,2,WN,Southwest Airlines Co.,JAX,"Jacksonville, FL: Jacksonville International",260.00,44.00,23.27,0.00,4.13,0.00,16.60,1.00,0.00,1388.00,832.00,0.00,94.00,0.00,462.00
2023,1,WN,Southwest Airlines Co.,JAX,"Jacksonville, FL: Jacksonville International",295.00,52.00,23.06,1.03,8.66,0.00,19.25,1.00,1.00,2722.00,886.00,44.00,436.00,0.00,1356.00
2022,12,WN,Southwest Airlines Co.,JAX,"Jacksonville, FL: Jacksonville International",349.00,90.00,37.91,0.51,9.81,0.00,41.77,52.00,0.00,5580.00,1971.00,48.00,380.00,0.00,3181.00
2022,11,WN,Southwest Airlines Co.,JAX,"Jacksonville, FL: Jacksonville International",329.00,73.00,37.07,0.81,7.70,0.00,27.42,0.00,1.00,2717.00,1234.00,30.00,219.00,0.00,1234.00
2022,10,WN,Southwest Airlines Co.,JAX,"Jacksonville, FL: Jacksonville International",320.00,59.00,34.81,0.00,4.93,0.00,19.26,3.00,0.00,2497.00,1519.00,0.00,173.00,0.00,805.00
2022,9,WN,Southwest Airlines Co.,JAX,"Jacksonville, FL: Jacksonville International",305.00,54.00,23.91,0.14,3.12,0.00,26.84,18.00,1.00,2733.00,854.00,8.00,168.00,0.00,1703.00
2022,8,WN,Southwest Airlines Co.,JAX,"Jacksonville, FL: Jacksonville International",310.00,114.00,51.71,0.95,9.56,0.00,51.79,8.00,0.00,6036.00,1891.00,225.00,468.00,0.00,3452.00
2022,7,WN,Southwest Airlines Co.,JAX,"Jacksonville, FL: Jacksonville International",310.00,112.00,53.76,1.71,8.50,0.00,48.04,2.00,5.00,5567.00,2683.00,95.00,248.00,0.00,2541.00
