year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,1,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3782.00,1057.00,261.30,9.39,364.96,4.45,416.90,86.00,9.00,56971.00,14729.00,1239.00,15888.00,485.00,24630.00
2023,12,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",4068.00,895.00,209.36,6.73,293.66,8.00,377.24,23.00,2.00,46399.00,10801.00,924.00,13253.00,235.00,21186.00
2023,11,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3856.00,600.00,199.87,0.35,105.39,1.40,292.99,3.00,0.00,27095.00,10274.00,22.00,3030.00,102.00,13667.00
2023,10,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3732.00,625.00,194.96,1.85,78.76,2.09,347.34,7.00,0.00,30880.00,10931.00,432.00,2612.00,54.00,16851.00
2023,9,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",2839.00,573.00,156.57,20.84,168.33,1.39,225.87,7.00,23.00,33432.00,7526.00,2130.00,9614.00,55.00,14107.00
2023,8,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3265.00,756.00,212.87,17.83,196.65,1.95,326.69,40.00,14.00,38811.00,10766.00,1704.00,9547.00,78.00,16716.00
2023,7,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3614.00,1372.00,308.09,33.67,437.97,6.40,585.87,32.00,26.00,86531.00,18409.00,3317.00,24556.00,181.00,40068.00
2023,6,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3437.00,1133.00,260.30,34.14,351.19,2.76,484.61,19.00,57.00,71615.00,15081.00,3158.00,21515.00,82.00,31779.00
2023,5,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3654.00,758.00,207.27,12.92,181.45,2.00,354.36,13.00,18.00,38824.00,11813.00,1056.00,7877.00,66.00,18012.00
2023,4,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3677.00,1043.00,264.22,13.04,280.74,3.81,481.19,46.00,13.00,58349.00,15192.00,1363.00,12592.00,229.00,28973.00
2023,3,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3716.00,1051.00,219.41,14.37,419.39,1.97,395.86,40.00,7.00,65369.00,13407.00,1338.00,25876.00,65.00,24683.00
2023,2,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",2971.00,394.00,140.09,2.16,80.65,0.91,170.19,30.00,8.00,17871.00,6883.00,190.00,2889.00,61.00,7848.00
2023,1,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3125.00,573.00,181.38,5.98,143.42,2.20,240.03,59.00,2.00,38795.00,12719.00,516.00,7288.00,57.00,18215.00
2022,12,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3291.00,851.00,326.96,8.22,144.79,2.00,369.04,436.00,1.00,60981.00,23951.00,804.00,6850.00,52.00,29324.00
2022,11,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",2924.00,591.00,212.00,2.80,123.06,0.94,252.19,138.00,2.00,26805.00,9659.00,135.00,3970.00,17.00,13024.00
2022,10,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3003.00,455.00,206.18,4.02,44.07,0.61,200.12,33.00,2.00,21050.00,9549.00,279.00,1580.00,15.00,9627.00
2022,9,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",2825.00,679.00,236.85,15.08,142.04,1.49,283.54,228.00,20.00,35242.00,12220.00,1016.00,5889.00,32.00,16085.00
2022,8,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3087.00,992.00,335.53,16.53,202.64,5.80,431.49,76.00,17.00,57227.00,17591.00,1920.00,9963.00,119.00,27634.00
2022,7,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3132.00,1173.00,357.32,21.21,339.10,5.46,449.91,40.00,17.00,69683.00,19791.00,1667.00,18469.00,207.00,29549.00
2022,6,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",2938.00,1015.00,319.71,18.78,284.71,1.37,390.43,87.00,15.00,58827.00,17079.00,1590.00,15323.00,64.00,24771.00
2022,5,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3063.00,806.00,295.77,9.86,186.07,0.00,314.30,16.00,15.00,42596.00,15443.00,700.00,8760.00,0.00,17693.00
2022,4,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",2956.00,822.00,342.66,10.12,129.45,1.07,338.70,159.00,14.00,50084.00,19696.00,707.00,8435.00,48.00,21198.00
2022,3,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3281.00,1119.00,323.89,12.82,358.40,6.37,417.51,102.00,21.00,72700.00,21682.00,1484.00,20829.00,325.00,28380.00
2022,2,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",2691.00,556.00,240.47,5.66,87.21,1.20,221.45,71.00,0.00,25670.00,10940.00,299.00,3182.00,202.00,11047.00
2022,1,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3038.00,562.00,240.48,7.05,110.86,0.13,203.48,156.00,1.00,29754.00,12460.00,894.00,3885.00,2.00,12513.00
2021,12,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3101.00,683.00,268.30,1.48,97.34,2.27,313.61,19.00,1.00,34551.00,13171.00,89.00,3387.00,254.00,17650.00
2021,11,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3099.00,527.00,219.86,3.20,83.22,2.44,218.29,12.00,0.00,22174.00,9154.00,174.00,2384.00,72.00,10390.00
2021,10,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3265.00,759.00,311.51,7.46,102.67,2.23,335.14,166.00,2.00,40101.00,16362.00,816.00,4911.00,85.00,17927.00
2021,9,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",2922.00,470.00,216.63,1.71,68.31,3.00,180.35,75.00,4.00,24516.00,12610.00,74.00,2284.00,63.00,9485.00
2021,8,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3580.00,1075.00,397.23,21.83,237.80,0.86,417.29,147.00,25.00,61704.00,22010.00,1418.00,11808.00,24.00,26444.00
2021,7,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3600.00,1079.00,404.63,20.83,198.23,4.25,451.06,64.00,24.00,61849.00,22288.00,2008.00,9039.00,184.00,28330.00
2021,6,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3490.00,1138.00,423.89,26.06,230.89,4.84,452.33,153.00,46.00,72575.00,25314.00,2668.00,12689.00,172.00,31732.00
2021,5,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3322.00,532.00,225.74,6.31,81.60,1.85,216.51,7.00,7.00,29930.00,12478.00,785.00,3193.00,46.00,13428.00
2021,4,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3130.00,402.00,122.16,4.51,133.44,1.88,140.02,44.00,23.00,25085.00,7522.00,295.00,7729.00,58.00,9481.00
2021,3,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3040.00,420.00,146.05,6.55,96.09,1.35,169.97,34.00,0.00,22054.00,7747.00,749.00,3525.00,60.00,9973.00
