year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,1,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",577.00,193.00,60.95,1.69,71.15,0.00,59.21,14.00,1.00,10509.00,3173.00,153.00,2763.00,0.00,4420.00
2023,12,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",578.00,151.00,42.85,1.30,57.20,0.30,49.35,4.00,0.00,7600.00,2159.00,60.00,2877.00,6.00,2498.00
2023,11,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",545.00,78.00,27.78,0.00,19.85,1.00,29.38,0.00,0.00,3004.00,1165.00,0.00,533.00,55.00,1251.00
2023,10,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",510.00,111.00,33.70,0.38,27.10,0.84,48.98,0.00,2.00,4898.00,1497.00,25.00,1040.00,48.00,2288.00
2023,9,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",443.00,123.00,33.23,3.43,45.70,0.00,40.64,2.00,2.00,6535.00,1938.00,94.00,2182.00,0.00,2321.00
2023,8,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",453.00,133.00,39.25,3.33,37.07,0.00,53.35,2.00,0.00,6885.00,1589.00,408.00,2218.00,0.00,2670.00
2023,7,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",495.00,195.00,45.16,7.69,56.03,0.00,86.12,2.00,3.00,10325.00,2268.00,603.00,2701.00,0.00,4753.00
2023,6,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",474.00,178.00,52.08,4.57,54.51,1.59,65.25,1.00,10.00,10855.00,2775.00,476.00,3441.00,56.00,4107.00
2023,5,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",530.00,123.00,40.01,1.00,38.79,1.00,42.20,0.00,1.00,4795.00,1424.00,55.00,1426.00,42.00,1848.00
2023,4,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",554.00,198.00,63.70,4.71,65.05,0.70,63.84,5.00,5.00,10142.00,2640.00,443.00,3353.00,16.00,3690.00
2023,3,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",634.00,183.00,52.85,3.00,73.88,0.00,53.27,4.00,0.00,10419.00,2289.00,155.00,4597.00,0.00,3378.00
2023,2,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",533.00,90.00,35.95,1.07,28.42,0.00,24.56,5.00,0.00,3510.00,1315.00,23.00,1008.00,0.00,1164.00
2023,1,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",582.00,123.00,40.17,0.97,30.16,1.00,50.70,10.00,0.00,10414.00,2176.00,718.00,2658.00,24.00,4838.00
2022,12,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",568.00,170.00,74.42,1.92,25.92,0.00,67.74,85.00,0.00,11650.00,5494.00,207.00,1058.00,0.00,4891.00
2022,11,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",565.00,116.00,50.24,0.00,20.20,0.09,45.47,17.00,0.00,4549.00,1967.00,0.00,616.00,18.00,1948.00
2022,10,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",581.00,112.00,41.89,1.07,14.45,1.00,53.58,9.00,0.00,6173.00,2258.00,263.00,906.00,28.00,2718.00
2022,9,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",560.00,155.00,55.52,2.21,47.89,0.00,49.38,24.00,2.00,7705.00,2756.00,374.00,1688.00,0.00,2887.00
2022,8,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",562.00,175.00,65.95,3.89,23.31,0.00,81.85,8.00,1.00,8859.00,3011.00,202.00,692.00,0.00,4954.00
2022,7,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",560.00,161.00,55.96,4.21,27.31,3.15,70.38,7.00,2.00,8152.00,2562.00,169.00,1264.00,192.00,3965.00
2022,6,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",522.00,177.00,69.23,4.96,44.36,0.00,58.44,13.00,11.00,10031.00,3854.00,402.00,2352.00,0.00,3423.00
2022,5,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",578.00,195.00,60.51,1.78,68.49,0.00,64.22,4.00,5.00,9018.00,3026.00,93.00,2704.00,0.00,3195.00
2022,4,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",532.00,201.00,71.19,1.00,48.02,1.00,79.79,23.00,4.00,12215.00,3781.00,157.00,3111.00,16.00,5150.00
2022,3,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",638.00,235.00,84.81,3.96,69.37,0.00,76.85,26.00,0.00,12128.00,4083.00,506.00,2871.00,0.00,4668.00
2022,2,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",614.00,144.00,66.58,1.62,37.49,0.00,38.32,17.00,1.00,6166.00,3098.00,57.00,1242.00,0.00,1769.00
2022,1,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",698.00,164.00,68.72,1.56,54.16,0.00,39.57,44.00,1.00,7690.00,3118.00,52.00,1881.00,0.00,2639.00
2021,12,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",704.00,208.00,92.23,0.54,40.84,0.00,74.39,5.00,0.00,9815.00,3927.00,68.00,1764.00,0.00,4056.00
2021,11,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",676.00,152.00,66.99,2.19,34.44,0.00,48.38,0.00,0.00,6821.00,2988.00,93.00,979.00,0.00,2761.00
2021,10,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",693.00,184.00,82.65,0.00,18.87,0.00,82.48,44.00,2.00,10419.00,5047.00,0.00,910.00,0.00,4462.00
2021,9,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",646.00,145.00,69.86,1.53,26.53,1.00,46.08,23.00,1.00,6827.00,3391.00,59.00,820.00,15.00,2542.00
2021,8,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",690.00,213.00,81.05,4.44,57.88,0.23,69.40,40.00,1.00,12257.00,4539.00,241.00,3012.00,7.00,4458.00
2021,7,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",692.00,249.00,88.58,4.89,53.87,0.77,100.90,15.00,6.00,14380.00,5373.00,396.00,2173.00,20.00,6418.00
2021,6,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",652.00,220.00,85.90,0.75,40.96,1.00,91.39,29.00,6.00,12631.00,4779.00,61.00,1984.00,18.00,5789.00
2021,5,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",581.00,91.00,46.27,0.27,18.96,0.00,25.49,2.00,3.00,4567.00,1966.00,36.00,714.00,0.00,1851.00
2021,4,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",540.00,64.00,30.17,1.31,22.26,0.00,10.26,15.00,2.00,3686.00,1596.00,44.00,1450.00,0.00,596.00
2021,3,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",474.00,62.00,24.81,0.02,16.35,2.00,18.82,7.00,0.00,3442.00,1146.00,5.00,602.00,61.00,1628.00
2021,2,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",260.00,49.00,26.04,1.00,14.40,0.00,7.57,10.00,0.00,2171.00,1092.00,25.00,718.00,0.00,336.00
2021,1,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",297.00,24.00,14.58,0.00,3.84,1.00,4.58,0.00,0.00,1223.00,659.00,0.00,131.00,45.00,388.00
2020,12,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",310.00,25.00,13.11,0.00,8.66,0.00,3.24,0.00,0.00,1071.00,607.00,0.00,288.00,0.00,176.00
2020,11,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",183.00,17.00,11.17,0.00,2.63,0.00,3.21,0.00,1.00,716.00,553.00,0.00,48.00,0.00,115.00
