arr_flights,security_ct,carrier_ct,arr_cancelled,arr_diverted,arr_del15,weather_ct,nas_ct,late_aircraft_ct
556.00,0.84,51.87,6.00,1.00,184.00,7.95,33.58,89.75
569.00,0.88,45.69,0.00,0.00,142.00,1.56,26.78,67.10
616.00,0.41,38.14,0.00,0.00,112.00,1.95,17.33,54.18
619.00,0.00,42.44,3.00,0.00,111.00,1.76,14.31,52.48
530.00,0.13,44.03,3.00,0.00,142.00,6.84,21.48,69.52
604.00,1.40,56.04,23.00,1.00,182.00,4.56,25.63,94.37
598.00,1.26,62.88,8.00,3.00,252.00,14.73,53.25,119.88
578.00,1.47,63.88,7.00,2.00,213.00,15.41,38.52,93.72
580.00,1.11,55.20,6.00,0.00,151.00,4.81,27.54,62.35
521.00,0.00,60.01,10.00,1.00,164.00,2.84,30.01,71.14
544.00,0.00,51.64,7.00,0.00,154.00,4.60,24.71,73.06
492.00,0.00,39.39,7.00,0.00,104.00,4.80,16.45,43.36
506.00,0.00,35.04,7.00,0.00,115.00,2.15,30.19,47.62
484.00,1.99,49.75,3.00,0.00,144.00,5.84,20.07,66.35
462.00,0.00,33.12,14.00,0.00,91.00,1.07,17.06,39.75
478.00,0.25,29.85,2.00,0.00,79.00,0.10,12.06,36.74
375.00,0.33,27.06,25.00,1.00,81.00,4.01,18.41,31.18
390.00,0.00,42.95,16.00,0.00,130.00,10.91,25.99,50.15
369.00,0.00,67.46,12.00,5.00,155.00,4.05,25.89,57.60
376.00,1.13,61.16,26.00,1.00,143.00,6.15,18.53,56.03
364.00,0.00,32.68,4.00,1.00,104.00,6.69,22.04,42.59
323.00,0.08,35.30,7.00,0.00,75.00,2.06,13.50,24.05
306.00,0.09,26.07,1.00,3.00,66.00,0.75,16.13,22.95
309.00,0.00,33.32,22.00,0.00,73.00,0.90,12.53,26.24
337.00,0.00,34.32,12.00,0.00,63.00,0.93,11.57,16.18
376.00,0.00,32.25,2.00,0.00,71.00,0.55,12.38,25.82
343.00,0.85,44.18,8.00,0.00,80.00,0.00,11.85,23.12
364.00,0.00,30.35,26.00,0.00,75.00,1.03,14.78,28.84
255.00,0.07,11.46,0.00,0.00,27.00,1.56,6.05,7.86
237.00,0.37,33.41,14.00,0.00,76.00,6.31,14.15,21.76
231.00,0.78,41.41,2.00,1.00,90.00,4.28,10.26,33.27
265.00,0.00,41.69,13.00,1.00,79.00,3.38,11.04,22.89
315.00,0.00,16.38,5.00,0.00,48.00,3.50,9.65,18.47
312.00,0.00,10.26,2.00,0.00,45.00,0.04,19.55,15.15
288.00,0.39,17.26,0.00,0.00,37.00,1.82,11.29,6.23
208.00,0.00,12.80,16.00,0.00,31.00,4.75,11.59,1.86
233.00,0.00,9.41,2.00,0.00,33.00,0.91,17.41,5.27
233.00,1.00,19.22,1.00,0.00,38.00,1.00,10.29,6.49
252.00,0.00,21.09,0.00,0.00,31.00,0.00,5.96,3.95
261.00,0.00,13.59,0.00,0.00,32.00,3.12,7.36,7.93
211.00,0.00,8.17,0.00,0.00,25.00,2.11,11.56,3.16
253.00,0.00,10.19,0.00,0.00,37.00,1.44,18.58,6.79
235.00,0.55,8.67,1.00,0.00,25.00,1.82,8.89,5.07
180.00,0.00,2.94,0.00,1.00,14.00,0.89,7.72,2.45
165.00,0.00,5.49,0.00,0.00,13.00,0.00,6.09,1.42
198.00,0.00,2.72,90.00,0.00,9.00,0.00,1.13,5.15
309.00,0.70,13.37,65.00,0.00,35.00,0.33,10.40,10.20
279.00,0.92,22.07,7.00,0.00,56.00,0.99,14.93,17.09
294.00,0.00,15.34,2.00,0.00,47.00,0.63,15.22,15.81
356.00,0.00,30.32,0.00,0.00,65.00,0.56,11.68,22.44
381.00,0.00,22.62,2.00,0.00,50.00,0.18,11.18,16.02
382.00,0.00,33.38,4.00,0.00,87.00,1.64,17.37,34.60
368.00,0.00,24.70,22.00,0.00,52.00,0.58,9.66,17.06
348.00,0.03,38.87,7.00,0.00,104.00,5.15,24.88,35.07
329.00,0.00,33.10,8.00,0.00,97.00,4.18,20.22,39.49
336.00,0.03,47.31,10.00,0.00,112.00,3.77,26.34,34.55
372.00,0.00,40.54,12.00,0.00,113.00,5.55,28.60,38.31
436.00,0.00,44.47,14.00,1.00,123.00,5.86,36.94,35.73
399.00,0.00,38.00,5.00,0.00,93.00,1.22,13.31,40.47
326.00,0.58,32.50,2.00,0.00,75.00,3.58,14.26,24.07
328.00,1.30,27.31,0.00,0.00,52.00,0.44,12.61,10.34
317.00,0.00,26.18,9.00,1.00,61.00,2.72,17.68,14.41
330.00,0.00,34.26,2.00,0.00,62.00,0.12,12.93,14.70
344.00,0.00,24.57,2.00,0.00,69.00,3.95,19.28,21.19
269.00,0.00,15.58,6.00,1.00,52.00,5.47,13.65,17.30
288.00,0.00,38.82,3.00,1.00,84.00,3.09,10.59,31.51
306.00,0.00,38.63,6.00,1.00,95.00,2.55,13.75,40.08
310.00,0.00,36.70,3.00,3.00,98.00,3.13,13.34,44.83
348.00,0.61,28.50,5.00,1.00,81.00,1.71,17.59,32.59
312.00,0.00,19.17,1.00,2.00,49.00,1.65,15.74,12.44
344.00,0.00,28.41,5.00,0.00,66.00,0.32,12.92,24.35
283.00,0.00,15.20,2.00,0.00,45.00,1.86,10.41,17.53
259.00,0.00,20.72,5.00,0.00,48.00,0.83,16.61,9.85
205.00,0.00,10.59,0.00,0.00,22.00,0.08,7.91,3.42
231.00,0.00,11.72,0.00,0.00,24.00,0.00,5.55,6.73
231.00,0.00,14.51,0.00,0.00,33.00,0.00,11.78,6.71
209.00,0.00,5.50,35.00,0.00,17.00,0.00,4.09,7.41
244.00,0.00,20.99,0.00,2.00,70.00,2.16,18.80,28.05
254.00,0.00,28.47,2.00,1.00,87.00,7.04,21.55,29.94
252.00,0.00,27.57,1.00,0.00,88.00,3.08,25.23,32.12
318.00,0.00,16.96,5.00,1.00,62.00,0.62,21.38,23.05
337.00,0.00,32.80,4.00,0.00,80.00,0.51,18.45,28.24
382.00,0.61,20.10,2.00,0.00,73.00,0.72,12.46,39.12
314.00,0.00,11.61,1.00,0.00,36.00,0.59,14.15,9.66
311.00,0.36,13.67,0.00,1.00,46.00,0.44,8.76,22.76
290.00,0.00,18.56,3.00,0.00,43.00,0.00,2.12,22.32
