arr_flights,security_ct,carrier_ct,arr_cancelled,arr_diverted,arr_del15,weather_ct,nas_ct,late_aircraft_ct
1577.00,2.23,121.57,20.00,2.00,501.00,26.65,145.96,204.60
1566.00,2.20,97.21,0.00,2.00,328.00,2.10,105.22,121.27
1489.00,0.74,70.52,0.00,2.00,219.00,1.70,68.72,77.31
1518.00,0.95,94.99,3.00,0.00,259.00,4.52,50.38,108.16
1380.00,1.99,84.64,16.00,13.00,304.00,12.45,84.89,120.03
1556.00,0.00,116.27,24.00,12.00,417.00,19.65,100.20,180.87
1580.00,1.57,161.19,27.00,10.00,590.00,33.14,183.71,210.39
1510.00,1.20,127.21,26.00,15.00,508.00,22.66,165.89,191.04
1514.00,0.40,128.89,6.00,9.00,380.00,13.11,81.06,156.54
1498.00,1.45,114.12,15.00,3.00,415.00,19.95,111.61,167.87
1528.00,1.14,121.56,8.00,3.00,431.00,7.67,129.17,171.46
1389.00,0.57,102.08,12.00,2.00,305.00,11.32,62.92,128.11
1475.00,1.62,82.63,38.00,0.00,305.00,10.23,99.40,111.13
1510.00,3.34,153.58,15.00,3.00,464.00,13.48,107.43,186.17
1526.00,0.00,108.81,95.00,0.00,304.00,6.58,84.50,104.11
1448.00,0.24,92.67,2.00,0.00,233.00,8.95,42.00,89.14
1305.00,0.51,103.66,112.00,8.00,329.00,19.92,101.45,103.46
1443.00,1.26,116.78,28.00,8.00,415.00,23.22,147.01,126.74
1485.00,1.78,156.55,21.00,5.00,521.00,16.86,169.19,176.62
1445.00,1.13,173.61,70.00,17.00,510.00,31.75,151.54,151.97
1473.00,1.15,122.08,23.00,3.00,346.00,20.05,112.69,90.03
1406.00,0.02,92.83,43.00,6.00,296.00,8.59,104.53,90.02
1508.00,2.72,96.83,12.00,5.00,378.00,7.03,176.71,94.70
1337.00,0.35,124.18,75.00,2.00,282.00,9.66,75.44,72.37
1450.00,0.00,87.53,37.00,0.00,218.00,8.61,60.16,61.70
1517.00,1.46,112.27,4.00,1.00,271.00,2.04,62.57,92.66
1446.00,2.20,104.77,18.00,0.00,253.00,1.59,60.06,84.39
1426.00,0.47,127.26,52.00,3.00,257.00,4.02,66.16,59.10
1236.00,2.86,68.45,4.00,2.00,179.00,6.03,69.12,32.54
1445.00,0.64,137.08,41.00,5.00,376.00,21.85,129.55,86.87
1510.00,3.32,161.88,11.00,10.00,461.00,29.98,158.91,106.90
1465.00,1.42,132.91,33.00,11.00,445.00,22.66,175.72,112.30
1300.00,1.40,83.98,10.00,0.00,198.00,11.85,51.50,49.26
1076.00,0.11,39.83,7.00,6.00,127.00,2.45,53.39,31.22
975.00,0.15,46.05,1.00,0.00,91.00,1.10,28.31,15.40
720.00,1.45,28.15,26.00,1.00,97.00,11.37,45.07,10.94
821.00,1.33,37.98,3.00,0.00,97.00,5.49,37.24,14.96
879.00,0.00,56.95,3.00,1.00,91.00,1.83,21.95,10.27
847.00,1.45,42.89,0.00,0.00,77.00,0.53,20.86,11.27
833.00,1.00,32.78,0.00,1.00,68.00,4.25,17.98,11.99
746.00,2.73,35.92,1.00,7.00,79.00,2.97,26.17,11.20
935.00,1.00,26.73,5.00,1.00,65.00,6.16,24.98,6.12
901.00,0.00,18.18,14.00,2.00,65.00,6.86,32.09,7.87
571.00,0.00,16.38,0.00,6.00,27.00,2.00,6.14,2.47
393.00,0.00,8.81,0.00,0.00,17.00,2.06,5.23,0.89
987.00,0.86,13.50,404.00,1.00,18.00,0.00,3.37,0.27
1656.00,0.86,56.85,266.00,1.00,126.00,1.09,30.47,36.73
1484.00,0.00,93.12,11.00,2.00,260.00,4.33,105.33,57.21
1546.00,1.95,97.55,11.00,0.00,252.00,7.13,73.23,72.15
1593.00,0.81,105.19,0.00,2.00,282.00,3.36,87.76,84.88
1401.00,0.05,96.42,5.00,0.00,197.00,0.75,35.42,64.36
1459.00,0.71,91.19,7.00,2.00,218.00,3.66,48.29,74.15
1371.00,0.67,73.09,105.00,0.00,151.00,0.24,31.91,45.10
1518.00,4.01,136.37,24.00,3.00,442.00,20.82,151.98,128.82
1502.00,1.43,154.26,38.00,7.00,470.00,19.67,148.30,146.33
1507.00,0.83,170.57,63.00,3.00,482.00,15.12,135.25,160.24
1541.00,1.61,135.31,43.00,4.00,378.00,17.40,84.84,138.85
1487.00,0.07,132.54,44.00,4.00,368.00,14.80,116.81,103.77
1638.00,0.50,110.18,12.00,2.00,310.00,9.38,60.18,129.77
1459.00,0.00,106.01,1.00,1.00,288.00,8.81,65.87,107.31
1593.00,0.94,103.82,17.00,1.00,269.00,16.34,81.70,66.19
1508.00,0.28,114.75,21.00,4.00,293.00,9.50,106.58,61.89
1348.00,0.87,88.90,5.00,3.00,253.00,4.68,83.23,75.32
1501.00,0.00,120.84,3.00,0.00,309.00,7.35,75.86,104.94
1439.00,1.63,84.05,17.00,1.00,271.00,8.37,90.56,86.39
1534.00,1.21,145.60,23.00,9.00,443.00,22.74,129.06,144.38
1557.00,2.52,167.93,27.00,12.00,556.00,25.59,197.24,162.71
1531.00,1.55,144.59,16.00,12.00,495.00,28.19,163.34,157.34
1554.00,0.84,118.29,15.00,4.00,331.00,16.85,90.63,104.39
1510.00,0.00,88.10,4.00,1.00,254.00,7.32,75.98,82.60
1618.00,1.24,106.79,34.00,7.00,220.00,4.58,53.29,54.09
1411.00,0.00,76.68,6.00,0.00,212.00,13.20,60.53,61.59
1520.00,0.88,116.00,15.00,1.00,301.00,16.12,82.23,85.77
1499.00,0.00,115.42,1.00,2.00,313.00,10.47,78.44,108.68
1329.00,0.19,80.38,3.00,4.00,186.00,1.04,45.18,59.21
1392.00,0.00,89.84,1.00,3.00,225.00,7.17,76.80,51.19
1333.00,1.15,61.22,227.00,2.00,176.00,5.00,75.17,33.46
1527.00,2.00,126.09,9.00,4.00,347.00,9.69,109.39,99.84
1551.00,1.36,140.42,27.00,7.00,461.00,27.85,151.01,140.37
1511.00,3.50,119.18,23.00,6.00,403.00,16.00,141.63,122.69
1523.00,0.18,87.91,1.00,1.00,269.00,7.99,99.94,72.99
1564.00,0.96,111.01,9.00,1.00,334.00,8.31,112.99,100.73
1713.00,0.14,130.89,17.00,1.00,341.00,7.57,99.03,103.37
1451.00,0.00,105.41,9.00,0.00,223.00,2.59,60.07,54.93
1537.00,1.27,96.48,8.00,1.00,292.00,2.76,113.83,77.66
1572.00,2.51,124.41,7.00,2.00,336.00,8.32,88.47,112.28
1432.00,1.00,83.38,0.00,0.00,176.00,0.93,45.24,45.46
1495.00,0.38,89.30,78.00,2.00,216.00,0.64,69.94,55.73
1407.00,1.45,106.12,2.00,8.00,340.00,15.20,138.43,78.80
1622.00,0.12,168.59,23.00,10.00,480.00,20.10,154.06,137.12
1695.00,0.72,160.76,17.00,3.00,486.00,20.24,140.27,164.01
1638.00,0.22,147.50,5.00,6.00,447.00,20.16,147.60,131.52
1587.00,0.00,110.20,7.00,4.00,368.00,18.20,152.84,86.75
1653.00,0.68,117.39,8.00,2.00,314.00,7.59,108.41,79.93
1753.00,2.69,130.21,5.00,4.00,472.00,11.04,211.75,116.31
1572.00,0.00,89.70,11.00,1.00,266.00,15.69,100.85,59.76
1639.00,1.09,143.71,55.00,2.00,409.00,13.08,158.40,92.72
1666.00,3.40,124.71,13.00,2.00,378.00,10.95,127.69,111.25
1519.00,2.76,96.15,6.00,0.00,251.00,10.12,66.54,75.44
1522.00,0.00,93.80,6.00,0.00,234.00,7.77,61.88,70.56
1427.00,0.17,93.87,2.00,2.00,311.00,14.09,121.88,80.99
1617.00,4.15,144.41,10.00,13.00,487.00,22.75,197.78,117.90
1664.00,2.73,148.20,3.00,7.00,424.00,16.66,131.20,125.21
836.00,0.00,76.00,5.00,7.00,202.00,9.92,55.20,60.88
847.00,0.28,72.30,12.00,1.00,155.00,5.89,29.22,47.31
819.00,0.00,65.72,5.00,2.00,172.00,5.39,41.13,59.75
900.00,0.21,103.20,15.00,2.00,215.00,3.67,53.25,54.66
823.00,0.00,85.32,31.00,0.00,184.00,13.71,45.58,39.39
943.00,0.06,80.76,10.00,3.00,217.00,8.86,54.43,72.89
926.00,0.96,99.65,2.00,0.00,251.00,0.57,63.33,86.50
806.00,0.00,71.46,2.00,3.00,172.00,5.79,48.14,46.60
825.00,1.00,64.42,7.00,0.00,154.00,4.10,30.03,54.46
710.00,0.00,68.52,3.00,2.00,150.00,2.89,54.06,24.53
785.00,0.39,77.68,1.00,4.00,213.00,18.06,66.90,49.96
836.00,0.00,63.81,4.00,7.00,242.00,17.20,90.19,70.80
810.00,0.00,72.46,6.00,9.00,218.00,23.72,56.77,65.05
825.00,0.00,66.71,12.00,2.00,150.00,8.52,38.99,35.77
800.00,0.79,51.76,0.00,1.00,139.00,8.26,49.01,29.19
852.00,0.00,61.30,7.00,0.00,157.00,6.47,53.47,35.76
765.00,0.00,61.52,10.00,1.00,150.00,12.52,44.91,31.04
842.00,0.00,64.42,13.00,0.00,162.00,17.59,26.09,53.89
847.00,0.00,71.07,38.00,1.00,196.00,21.82,51.41,51.70
804.00,1.27,46.09,7.00,1.00,104.00,2.18,24.37,30.09
827.00,0.00,47.45,0.00,1.00,100.00,2.73,26.11,23.71
744.00,0.00,58.87,1.00,2.00,147.00,9.02,47.93,31.19
824.00,0.00,67.15,2.00,4.00,146.00,9.22,31.06,38.57
833.00,0.00,82.76,3.00,4.00,217.00,13.01,50.10,71.13
807.00,0.00,84.31,2.00,3.00,247.00,11.60,61.03,90.05
825.00,0.00,59.75,4.00,3.00,164.00,8.83,52.43,42.98
