arr_flights,security_ct,carrier_ct,arr_cancelled,arr_diverted,arr_del15,weather_ct,nas_ct,late_aircraft_ct
5281.00,4.09,398.96,69.00,5.00,1552.00,55.84,650.19,442.92
4883.00,6.26,302.08,0.00,5.00,1069.00,12.15,513.19,235.31
4538.00,2.71,209.25,0.00,5.00,592.00,5.20,212.96,161.88
4325.00,6.92,218.50,3.00,16.00,601.00,10.87,213.88,150.83
4049.00,3.54,215.35,31.00,37.00,788.00,35.57,332.36,201.19
4604.00,6.24,315.59,86.00,34.00,1094.00,30.91,351.33,389.93
4602.00,2.31,325.20,84.00,32.00,1324.00,72.20,453.94,470.36
4422.00,3.80,317.40,131.00,73.00,1250.00,57.43,423.41,447.96
4466.00,4.72,258.04,13.00,29.00,803.00,20.38,245.58,274.27
4228.00,4.26,244.39,32.00,21.00,1080.00,31.83,465.34,334.19
4369.00,2.27,278.09,10.00,3.00,973.00,14.16,350.35,328.13
3989.00,3.69,257.56,20.00,11.00,685.00,21.88,172.60,229.28
4297.00,3.62,268.55,40.00,4.00,856.00,22.49,336.78,224.55
4160.00,4.27,372.07,23.00,9.00,956.00,38.18,252.06,289.42
3995.00,4.11,266.59,33.00,24.00,820.00,11.65,288.25,249.41
4308.00,3.20,233.93,15.00,7.00,683.00,7.67,190.49,247.71
4211.00,3.60,256.11,170.00,7.00,1006.00,25.33,428.19,292.77
4423.00,7.25,346.83,117.00,13.00,1008.00,49.58,298.40,305.95
4573.00,3.45,384.97,137.00,15.00,1155.00,51.97,312.13,402.48
4451.00,1.75,435.30,374.00,38.00,1355.00,70.05,458.55,389.35
4921.00,0.95,305.82,131.00,35.00,992.00,36.99,367.06,281.18
4880.00,5.51,305.31,208.00,29.00,1063.00,31.04,423.39,297.75
5378.00,6.83,299.82,43.00,7.00,1252.00,31.29,582.99,331.07
4998.00,5.35,399.22,260.00,8.00,1323.00,40.78,550.44,327.21
5475.00,5.19,380.42,235.00,8.00,1283.00,28.21,537.74,331.44
5387.00,6.82,358.61,52.00,6.00,1042.00,9.86,333.53,333.19
5185.00,6.14,402.72,109.00,12.00,1149.00,6.76,395.91,337.46
4293.00,4.92,307.74,151.00,4.00,775.00,12.49,162.97,286.88
3210.00,3.35,195.48,26.00,3.00,487.00,17.21,137.83,133.13
3631.00,5.69,318.88,91.00,12.00,855.00,46.27,244.86,239.30
3946.00,6.10,304.35,37.00,21.00,859.00,43.75,222.08,282.72
3821.00,5.45,309.02,115.00,24.00,857.00,45.86,233.91,262.75
4186.00,6.75,232.91,7.00,16.00,540.00,15.97,154.94,129.43
3666.00,2.73,156.88,69.00,9.00,355.00,13.17,98.67,83.55
3132.00,3.35,134.38,5.00,4.00,277.00,5.97,79.25,54.04
2205.00,4.88,92.99,50.00,0.00,298.00,33.45,131.07,35.62
2447.00,1.00,107.45,2.00,4.00,204.00,8.57,55.32,31.66
2415.00,3.00,119.46,12.00,1.00,233.00,7.96,88.00,14.58
2331.00,1.35,83.64,3.00,3.00,191.00,4.62,76.28,25.12
1757.00,3.51,103.06,2.00,6.00,213.00,3.85,80.03,22.56
1738.00,8.29,70.57,3.00,3.00,165.00,8.37,59.41,18.36
2220.00,4.13,69.17,6.00,6.00,147.00,9.55,47.55,16.60
2991.00,1.00,75.88,49.00,8.00,193.00,19.55,55.90,40.67
1869.00,0.00,53.43,0.00,1.00,90.00,9.30,10.86,16.41
1213.00,2.00,21.90,0.00,8.00,43.00,2.48,7.75,8.88
2393.00,1.00,53.68,886.00,1.00,73.00,2.72,7.32,8.28
4299.00,0.00,119.75,745.00,5.00,282.00,4.58,72.22,85.45
4113.00,3.99,203.98,20.00,2.00,570.00,10.31,191.86,159.86
4484.00,2.00,244.60,19.00,3.00,605.00,19.38,164.47,174.55
4479.00,6.18,274.24,2.00,11.00,780.00,19.06,228.13,252.38
3932.00,4.59,215.26,10.00,2.00,460.00,5.67,92.23,142.26
4002.00,2.21,208.20,11.00,5.00,560.00,9.32,149.00,191.27
3864.00,3.20,188.19,71.00,2.00,495.00,6.89,153.37,143.34
4229.00,2.89,252.88,71.00,20.00,993.00,39.69,338.75,358.78
4176.00,2.47,291.10,89.00,27.00,879.00,48.13,235.40,301.90
3969.00,0.31,318.39,102.00,23.00,910.00,41.00,197.95,352.34
4075.00,1.28,246.06,67.00,13.00,745.00,30.68,185.51,281.48
4030.00,2.37,231.55,100.00,1.00,708.00,23.11,244.18,206.79
4539.00,0.39,256.33,98.00,3.00,715.00,16.56,165.38,276.34
4230.00,3.10,254.91,19.00,7.00,788.00,26.32,293.38,210.29
4641.00,1.27,240.68,44.00,7.00,821.00,42.16,309.36,227.53
4530.00,4.76,285.19,41.00,15.00,998.00,22.28,427.27,258.49
4179.00,1.59,265.45,13.00,5.00,774.00,24.30,289.67,192.99
4211.00,0.97,239.08,11.00,1.00,633.00,11.36,167.28,214.30
3944.00,3.90,240.15,18.00,5.00,612.00,23.19,164.06,180.70
4203.00,1.62,310.45,61.00,13.00,965.00,52.88,282.50,317.55
4312.00,3.75,358.46,112.00,18.00,1389.00,45.40,537.25,444.15
4167.00,3.06,319.70,49.00,6.00,1070.00,44.71,374.16,328.36
4337.00,1.82,255.89,52.00,20.00,987.00,19.72,401.78,307.78
4277.00,3.27,219.56,15.00,25.00,710.00,11.95,262.09,213.13
4515.00,1.30,219.77,120.00,3.00,579.00,16.27,184.03,157.63
4013.00,0.00,171.73,13.00,3.00,485.00,21.21,162.67,129.39
4376.00,0.00,232.51,68.00,2.00,666.00,24.37,239.72,169.40
4330.00,2.55,248.40,13.00,1.00,830.00,35.15,345.71,198.19
4024.00,4.88,159.12,4.00,1.00,413.00,3.12,131.66,114.21
4166.00,2.14,211.27,60.00,16.00,603.00,7.81,231.79,149.99
3869.00,3.19,137.81,948.00,14.00,460.00,6.27,198.21,114.53
4379.00,1.59,300.16,34.00,8.00,1017.00,29.98,415.90,269.37
4522.00,2.08,336.27,91.00,14.00,1215.00,49.37,395.69,431.58
4372.00,0.23,286.68,106.00,36.00,1127.00,49.89,435.49,354.70
4371.00,3.19,265.31,23.00,7.00,894.00,11.59,335.21,278.70
4301.00,1.00,245.33,28.00,4.00,774.00,15.90,269.03,242.74
4645.00,2.25,254.62,68.00,5.00,788.00,4.50,259.73,266.89
4041.00,1.93,176.94,49.00,13.00,534.00,10.28,190.44,154.41
4498.00,4.76,249.09,38.00,12.00,814.00,20.54,328.28,211.32
4612.00,2.90,321.44,15.00,11.00,968.00,31.59,360.48,251.60
4278.00,2.29,201.82,3.00,2.00,535.00,3.79,180.18,146.92
4224.00,0.18,197.15,193.00,2.00,528.00,7.35,172.38,150.94
3998.00,0.67,222.77,9.00,7.00,758.00,16.85,324.72,192.99
4569.00,5.08,372.43,103.00,42.00,1291.00,29.96,443.94,439.58
4733.00,4.05,382.28,63.00,10.00,1273.00,58.10,416.91,411.66
4648.00,3.00,395.92,31.00,19.00,1253.00,35.91,432.20,385.97
4801.00,5.04,281.00,26.00,16.00,964.00,23.65,376.93,277.38
4505.00,2.55,253.32,14.00,9.00,789.00,19.22,320.26,193.64
4715.00,8.54,292.99,13.00,12.00,1149.00,19.66,545.30,282.52
4363.00,3.29,214.18,27.00,6.00,798.00,18.65,341.13,220.76
4628.00,7.77,335.41,135.00,42.00,1222.00,31.03,602.39,245.41
