arr_flights,security_ct,carrier_ct,arr_cancelled,arr_diverted,arr_del15,weather_ct,nas_ct,late_aircraft_ct
414.00,0.00,42.54,2.00,0.00,90.00,4.44,24.04,18.98
482.00,0.00,34.45,0.00,2.00,67.00,0.03,12.45,20.06
468.00,0.00,30.91,0.00,1.00,53.00,0.00,8.77,13.32
500.00,0.00,36.94,0.00,1.00,57.00,0.00,4.97,15.08
467.00,0.00,44.92,7.00,2.00,84.00,2.59,15.90,20.59
439.00,0.00,66.56,16.00,1.00,120.00,5.75,22.91,24.79
467.00,0.00,95.21,5.00,2.00,173.00,2.62,27.01,48.16
464.00,0.00,89.18,10.00,0.00,165.00,3.11,22.06,50.65
519.00,0.00,54.21,4.00,0.00,80.00,0.00,6.59,19.19
394.00,0.00,69.17,8.00,0.00,108.00,1.62,15.00,22.21
421.00,0.00,55.85,7.00,0.00,108.00,3.64,27.64,20.87
371.00,0.00,23.22,1.00,2.00,40.00,3.79,4.77,8.22
398.00,0.00,42.97,1.00,0.00,88.00,5.46,23.77,15.80
400.00,0.00,46.97,4.00,0.00,68.00,1.28,9.79,9.97
395.00,0.00,26.04,0.00,0.00,51.00,0.00,16.81,8.15
386.00,0.00,31.21,1.00,1.00,63.00,0.95,13.52,17.32
346.00,1.00,24.01,26.00,0.00,38.00,0.00,8.39,4.60
319.00,0.00,38.13,2.00,0.00,57.00,3.25,9.07,6.54
405.00,0.00,71.87,2.00,0.00,114.00,0.85,21.96,19.31
473.00,0.00,63.03,13.00,1.00,107.00,8.54,17.28,18.14
425.00,0.00,61.86,9.00,1.00,87.00,1.60,8.80,14.74
377.00,0.00,42.60,6.00,0.00,73.00,1.78,17.00,11.62
361.00,0.00,52.88,0.00,2.00,95.00,4.94,14.73,22.44
284.00,0.00,24.52,0.00,0.00,33.00,0.40,5.29,2.79
329.00,0.00,34.57,7.00,0.00,60.00,1.59,16.14,7.69
336.00,0.00,36.30,6.00,1.00,59.00,2.78,10.47,9.44
327.00,1.00,31.49,0.00,0.00,47.00,0.83,8.39,5.28
350.00,0.00,33.70,1.00,1.00,51.00,4.75,4.60,7.95
322.00,0.00,33.31,0.00,0.00,46.00,0.00,5.30,7.39
330.00,0.00,23.93,0.00,2.00,37.00,2.41,3.62,7.04
335.00,0.00,31.88,0.00,1.00,57.00,3.87,11.58,9.67
296.00,0.00,28.39,0.00,1.00,43.00,2.00,8.71,3.90
279.00,0.00,14.40,0.00,1.00,28.00,2.65,4.77,6.18
260.00,0.00,11.06,1.00,0.00,22.00,1.00,4.82,5.13
270.00,0.00,13.93,0.00,0.00,23.00,1.87,7.00,0.20
260.00,0.00,10.62,0.00,2.00,24.00,2.00,10.75,0.63
264.00,0.00,14.71,0.00,0.00,31.00,0.00,11.78,4.51
286.00,0.00,16.02,3.00,0.00,32.00,0.00,9.75,6.23
260.00,0.00,8.30,8.00,0.00,16.00,0.00,2.32,5.38
215.00,0.00,9.36,0.00,0.00,15.00,0.82,1.38,3.45
202.00,0.00,7.17,0.00,0.00,8.00,0.00,0.41,0.43
245.00,0.00,13.42,1.00,0.00,28.00,2.91,9.37,2.30
184.00,0.00,5.32,4.00,0.00,13.00,0.81,6.32,0.55
118.00,0.00,3.69,0.00,0.00,7.00,0.00,1.31,2.00
63.00,0.00,7.12,0.00,0.00,9.00,0.00,1.47,0.41
124.00,0.00,2.13,43.00,1.00,3.00,0.00,0.00,0.87
491.00,0.00,9.84,145.00,0.00,18.00,0.00,4.24,3.91
419.00,0.00,13.59,0.00,0.00,50.00,4.16,12.14,20.12
455.00,0.00,18.89,0.00,0.00,34.00,0.83,9.92,4.37
482.00,0.00,26.74,0.00,1.00,59.00,4.95,13.01,14.30
440.00,0.00,14.39,0.00,1.00,29.00,0.00,6.76,7.85
477.00,0.00,24.79,0.00,0.00,64.00,0.63,20.21,18.37
456.00,1.00,24.50,11.00,0.00,39.00,0.76,8.11,4.62
521.00,0.00,38.83,1.00,0.00,91.00,2.67,29.90,19.61
531.00,0.00,57.19,1.00,3.00,124.00,4.53,28.84,33.43
524.00,0.00,47.86,1.00,0.00,104.00,4.59,28.70,22.85
517.00,0.00,29.39,0.00,0.00,62.00,3.00,10.90,18.71
510.00,0.00,34.02,1.00,0.00,69.00,1.00,16.31,17.67
525.00,0.00,25.24,0.00,0.00,47.00,2.49,9.11,10.16
413.00,0.00,32.79,2.00,0.00,59.00,1.37,11.85,13.00
450.00,0.00,19.25,2.00,0.00,40.00,1.03,12.76,6.95
437.00,0.00,32.35,0.00,0.00,65.00,6.22,16.26,10.18
420.00,0.00,28.43,1.00,0.00,67.00,5.78,11.99,20.80
431.00,0.00,19.77,0.00,0.00,34.00,0.79,6.45,6.98
352.00,0.00,15.96,0.00,0.00,41.00,1.24,14.41,9.39
433.00,0.00,32.85,0.00,0.00,73.00,4.94,17.83,17.39
425.00,0.00,26.92,1.00,1.00,71.00,6.99,17.74,19.35
392.00,0.00,28.01,2.00,2.00,87.00,14.92,25.60,18.47
379.00,0.00,40.14,0.00,0.00,75.00,2.92,16.23,15.71
371.00,0.00,14.13,0.00,1.00,34.00,2.53,10.73,6.60
417.00,0.00,24.81,0.00,0.00,50.00,3.94,6.18,15.07
316.00,0.00,34.09,0.00,0.00,54.00,3.34,4.30,12.27
334.00,0.00,15.82,8.00,0.00,47.00,11.31,6.80,13.06
369.00,0.00,35.91,16.00,0.00,55.00,3.46,9.09,6.54
342.00,0.00,8.81,0.00,0.00,14.00,0.00,2.67,2.53
372.00,0.00,20.02,0.00,0.00,46.00,4.46,10.22,11.30
353.00,0.00,15.45,29.00,0.00,31.00,1.00,10.47,4.08
423.00,0.00,27.56,0.00,0.00,62.00,3.79,18.70,11.94
426.00,0.00,36.87,0.00,1.00,80.00,9.50,15.60,18.03
418.00,0.00,27.86,0.00,0.00,77.00,5.99,19.22,23.93
405.00,0.00,31.40,0.00,0.00,71.00,4.49,14.79,20.31
385.00,0.00,21.14,23.00,0.00,69.00,22.93,7.68,17.26
401.00,0.00,18.98,0.00,0.00,34.00,4.04,3.27,7.70
328.00,0.00,10.98,0.00,0.00,18.00,1.00,3.44,2.58
363.00,0.00,22.85,1.00,0.00,56.00,8.27,9.93,14.95
410.00,0.00,32.76,0.00,0.00,60.00,6.96,7.73,12.55
401.00,0.00,15.00,0.00,0.00,23.00,0.10,0.60,7.29
427.00,0.00,13.54,19.00,1.00,18.00,0.00,2.31,2.15
388.00,0.00,21.35,0.00,1.00,32.00,2.79,2.87,4.99
413.00,0.00,35.75,9.00,1.00,66.00,7.35,6.50,16.39
402.00,0.00,26.44,0.00,1.00,66.00,9.97,12.81,16.78
404.00,0.00,30.46,0.00,0.00,66.00,6.59,11.70,17.26
417.00,0.00,28.64,0.00,1.00,49.00,0.36,8.31,11.69
399.00,0.00,28.05,0.00,1.00,48.00,0.69,9.47,9.78
379.00,0.00,17.26,0.00,0.00,32.00,3.14,5.21,6.39
342.00,0.00,16.76,0.00,0.00,41.00,3.10,4.66,16.47
354.00,0.00,21.93,0.00,0.00,48.00,5.84,9.84,10.40
394.00,0.00,34.23,2.00,0.00,74.00,11.27,10.70,17.80
393.00,0.00,25.62,0.00,1.00,50.00,3.08,7.42,13.88
455.00,0.00,17.25,0.00,0.00,25.00,0.00,3.19,4.56
385.00,0.00,12.60,0.00,0.00,29.00,3.30,7.46,5.64
408.00,0.00,24.93,0.00,1.00,74.00,7.74,21.03,20.30
406.00,0.00,30.48,0.00,0.00,75.00,8.13,19.56,16.83
398.00,0.00,37.05,1.00,1.00,84.00,11.47,16.57,18.91
420.00,0.00,21.03,1.00,0.00,57.00,8.00,14.18,13.78
409.00,0.00,26.26,2.00,0.00,53.00,4.37,9.70,12.68
397.00,0.00,31.88,0.00,0.00,55.00,0.56,12.58,9.98
303.00,0.00,20.03,4.00,0.00,45.00,5.91,9.97,9.09
322.00,0.00,14.78,0.00,0.00,46.00,2.81,12.75,15.67
380.00,0.00,18.72,0.00,0.00,45.00,3.21,15.77,7.30
352.00,0.00,22.30,0.00,1.00,41.00,0.61,8.70,9.40
369.00,0.00,18.66,0.00,0.00,48.00,1.61,13.96,13.77
328.00,0.00,22.08,0.00,0.00,55.00,2.18,16.57,14.18
349.00,0.00,29.44,5.00,1.00,62.00,6.94,12.93,12.68
349.00,0.00,27.41,0.00,1.00,54.00,0.43,11.10,15.06
346.00,0.00,39.72,0.00,0.00,89.00,5.76,20.74,22.78
357.00,0.00,29.44,0.00,1.00,59.00,2.05,17.12,10.38
354.00,0.00,27.82,0.00,0.00,64.00,4.27,13.22,18.69
365.00,0.00,31.80,0.00,0.00,52.00,1.42,7.55,11.23
282.00,0.00,22.34,18.00,0.00,43.00,1.77,6.64,12.25
310.00,0.00,32.19,19.00,0.00,74.00,10.71,10.41,20.68
363.00,0.00,32.42,0.00,0.00,62.00,5.43,13.43,10.73
353.00,0.00,18.26,0.00,0.00,35.00,0.59,5.81,10.34
356.00,2.00,14.31,1.00,0.00,27.00,0.01,5.57,5.11
340.00,0.00,18.87,0.00,1.00,32.00,0.00,6.61,6.52
361.00,0.00,33.72,0.00,2.00,75.00,2.67,13.86,24.75
355.00,0.00,47.00,0.00,0.00,122.00,4.43,23.09,47.48
351.00,0.00,44.80,0.00,0.00,107.00,5.52,22.44,34.23
362.00,0.00,22.25,0.00,0.00,42.00,2.34,6.11,11.30
379.00,0.00,26.54,0.00,0.00,48.00,2.47,7.45,11.54
368.00,0.00,21.98,1.00,1.00,41.00,2.73,8.16,8.13
284.00,0.00,19.14,0.00,1.00,28.00,0.00,3.75,5.11
301.00,0.00,16.37,1.00,0.00,28.00,1.71,3.94,5.98
340.00,0.00,17.28,0.00,0.00,36.00,0.00,7.74,10.98
355.00,0.00,15.67,2.00,0.00,33.00,0.00,5.20,12.14
419.00,1.00,24.32,6.00,0.00,54.00,1.00,7.20,20.48
