arr_flights,security_ct,carrier_ct,arr_cancelled,arr_diverted,arr_del15,weather_ct,nas_ct,late_aircraft_ct
1872.00,1.00,147.74,5.00,3.00,440.00,16.47,194.73,80.06
1926.00,1.00,117.35,0.00,0.00,276.00,4.57,109.92,43.16
1739.00,0.00,88.17,0.00,5.00,178.00,0.60,60.60,28.64
1696.00,0.00,102.36,1.00,0.00,169.00,1.00,33.50,32.14
1565.00,0.00,105.59,11.00,12.00,294.00,4.80,120.55,63.06
1723.00,0.00,157.36,12.00,8.00,398.00,14.80,134.67,91.17
1760.00,0.00,221.08,29.00,18.00,637.00,15.87,232.97,167.08
1672.00,1.83,199.65,50.00,19.00,512.00,15.92,170.80,123.80
1737.00,1.00,149.21,8.00,6.00,312.00,6.84,81.43,73.51
1775.00,0.00,176.16,38.00,5.00,445.00,3.96,151.33,113.55
1858.00,0.00,179.81,31.00,2.00,498.00,7.27,191.79,119.14
1567.00,0.70,109.35,16.00,1.00,291.00,11.05,87.76,82.13
1742.00,0.00,159.53,14.00,0.00,406.00,12.75,134.47,99.25
1698.00,0.00,193.59,36.00,0.00,447.00,15.60,118.00,119.82
1467.00,0.61,92.39,80.00,0.00,256.00,2.98,108.64,51.37
1448.00,0.00,86.66,1.00,1.00,176.00,1.41,45.87,42.06
1428.00,3.39,73.47,103.00,15.00,200.00,7.42,71.03,44.69
1563.00,0.81,135.05,8.00,9.00,335.00,11.82,121.58,65.74
1639.00,0.94,188.29,20.00,4.00,438.00,18.06,137.73,92.99
1590.00,1.00,191.07,58.00,9.00,473.00,11.81,150.66,118.45
1634.00,0.00,166.18,55.00,2.00,334.00,5.45,105.80,56.58
1635.00,1.68,179.22,40.00,3.00,428.00,10.30,134.44,102.35
1680.00,0.00,183.28,14.00,4.00,542.00,11.20,251.41,96.11
1368.00,0.00,106.31,5.00,0.00,228.00,7.71,73.80,40.18
1535.00,0.80,150.05,39.00,0.00,298.00,7.20,82.02,57.92
1561.00,2.55,162.21,31.00,2.00,309.00,11.54,79.38,53.32
1412.00,1.84,76.91,1.00,0.00,180.00,1.56,66.49,33.20
1430.00,0.00,67.19,1.00,2.00,168.00,1.97,56.08,42.76
1366.00,0.80,95.86,4.00,1.00,174.00,2.08,54.77,20.49
1471.00,1.00,96.15,0.00,2.00,255.00,10.35,103.34,44.16
1525.00,0.00,119.13,0.00,11.00,283.00,11.18,85.66,67.03
1530.00,1.48,115.36,0.00,11.00,308.00,7.26,136.61,47.29
1707.00,2.00,101.58,0.00,2.00,174.00,4.15,41.23,25.04
1677.00,0.00,94.26,23.00,12.00,210.00,6.02,71.09,38.62
1689.00,0.00,67.58,7.00,1.00,142.00,3.73,54.21,16.47
1264.00,0.00,47.58,20.00,3.00,144.00,6.58,76.34,13.49
1356.00,1.00,50.39,3.00,1.00,137.00,1.38,58.96,25.26
1240.00,0.00,68.44,12.00,1.00,182.00,6.94,84.03,22.59
