arr_flights,security_ct,carrier_ct,arr_cancelled,arr_diverted,arr_del15,weather_ct,nas_ct,late_aircraft_ct
1004.00,0.87,97.47,2.00,1.00,345.00,9.86,193.88,42.91
999.00,0.00,74.34,0.00,0.00,251.00,1.07,140.36,35.22
886.00,0.00,49.33,0.00,0.00,121.00,0.00,56.22,15.45
847.00,0.00,53.20,0.00,0.00,121.00,2.05,45.61,20.14
805.00,0.00,67.02,13.00,12.00,218.00,2.37,106.99,41.62
840.00,0.00,76.11,6.00,7.00,214.00,7.03,83.74,47.12
881.00,0.45,122.56,21.00,3.00,326.00,9.37,114.39,79.23
846.00,0.00,102.84,38.00,20.00,273.00,8.83,104.90,56.43
877.00,0.00,79.76,4.00,3.00,184.00,3.70,67.69,32.85
846.00,0.00,87.29,25.00,3.00,280.00,3.00,132.92,56.79
853.00,1.00,72.19,16.00,1.00,241.00,4.98,95.67,67.16
731.00,0.00,73.72,5.00,0.00,178.00,3.34,62.67,38.27
807.00,0.97,87.90,3.00,1.00,217.00,5.33,80.73,42.06
775.00,0.00,86.72,16.00,0.00,185.00,5.87,62.95,29.46
649.00,0.83,51.78,1.00,1.00,135.00,0.76,60.11,21.52
644.00,1.00,54.95,2.00,2.00,115.00,0.06,43.78,15.22
631.00,0.00,64.08,1.00,0.00,152.00,0.53,62.50,24.89
648.00,0.00,58.59,2.00,0.00,138.00,4.45,47.19,27.76
686.00,0.00,68.98,15.00,3.00,158.00,8.13,43.02,37.87
701.00,1.00,82.37,57.00,10.00,214.00,5.04,76.49,49.10
758.00,0.00,73.04,35.00,4.00,160.00,2.09,55.11,29.76
737.00,0.00,75.57,20.00,3.00,216.00,1.52,92.83,46.08
746.00,0.00,76.27,11.00,1.00,240.00,5.07,112.87,45.78
642.00,0.00,45.87,3.00,1.00,137.00,5.05,56.81,29.28
717.00,0.00,58.66,31.00,0.00,156.00,2.42,66.11,28.81
733.00,0.00,67.21,10.00,1.00,147.00,5.44,50.39,23.96
671.00,1.00,55.04,0.00,0.00,142.00,0.02,61.08,24.86
664.00,1.00,40.69,0.00,2.00,89.00,1.40,31.92,13.99
646.00,2.00,32.63,4.00,1.00,98.00,0.97,45.78,16.62
723.00,0.76,53.47,0.00,2.00,138.00,5.93,54.17,23.67
744.00,0.00,63.23,2.00,3.00,148.00,9.65,48.71,26.41
749.00,0.91,55.59,0.00,8.00,137.00,4.25,52.27,23.99
824.00,0.00,28.08,0.00,6.00,66.00,5.83,20.40,11.69
840.00,0.00,42.89,20.00,3.00,102.00,5.37,33.04,20.70
873.00,2.09,22.90,0.00,0.00,63.00,1.69,27.93,8.40
642.00,2.00,23.92,19.00,0.00,76.00,1.84,41.00,7.24
639.00,0.00,25.98,0.00,0.00,61.00,1.49,27.41,6.12
619.00,0.67,34.64,11.00,0.00,94.00,1.89,47.70,9.10
483.00,0.00,15.24,9.00,0.00,45.00,0.15,23.42,6.19
336.00,0.00,9.77,0.00,0.00,28.00,0.36,15.07,2.80
279.00,0.00,10.77,0.00,1.00,13.00,0.00,2.23,0.00
308.00,0.00,18.95,0.00,2.00,40.00,2.83,12.84,5.38
304.00,0.00,10.43,10.00,0.00,27.00,0.00,14.05,2.52
176.00,0.00,5.46,0.00,0.00,10.00,0.00,3.11,1.43
99.00,0.00,3.96,0.00,0.00,7.00,0.00,3.04,0.00
212.00,0.00,4.52,82.00,0.00,8.00,0.00,3.48,0.00
829.00,0.00,32.56,174.00,0.00,51.00,0.00,12.89,5.55
756.00,0.00,41.48,0.00,0.00,130.00,4.31,45.74,38.47
807.00,0.00,30.60,0.00,2.00,101.00,6.93,41.08,22.39
782.00,0.00,53.74,0.00,0.00,146.00,4.76,47.37,40.13
650.00,1.00,28.63,0.00,0.00,73.00,1.73,26.01,15.63
667.00,0.00,42.75,1.00,1.00,131.00,1.16,45.05,42.05
632.00,0.00,27.30,0.00,1.00,74.00,1.10,28.83,16.76
713.00,1.00,55.60,2.00,9.00,184.00,2.26,89.68,35.46
729.00,0.00,71.37,2.00,7.00,169.00,4.67,51.45,41.51
730.00,0.00,59.46,2.00,4.00,185.00,6.70,67.27,51.57
763.00,0.13,38.44,0.00,6.00,87.00,1.43,29.18,17.83
746.00,0.00,47.26,5.00,1.00,138.00,3.82,54.20,32.72
774.00,0.95,46.15,0.00,0.00,89.00,3.32,18.00,20.57
640.00,1.00,39.92,1.00,0.00,106.00,6.42,35.18,23.47
720.00,1.00,51.69,2.00,0.00,137.00,3.96,50.76,29.60
753.00,0.37,33.65,0.00,3.00,122.00,6.14,56.60,25.25
654.00,0.00,53.55,1.00,1.00,165.00,8.96,53.37,49.12
691.00,1.00,27.56,0.00,0.00,69.00,0.09,24.02,16.33
667.00,0.60,29.61,0.00,3.00,64.00,1.20,17.32,15.27
789.00,0.98,45.97,1.00,5.00,144.00,8.49,47.57,41.00
801.00,0.00,60.67,1.00,4.00,205.00,10.06,99.96,34.30
796.00,0.18,59.01,0.00,1.00,148.00,12.56,47.40,28.85
810.00,0.00,57.79,0.00,2.00,149.00,4.40,72.50,14.31
796.00,0.00,41.57,2.00,3.00,124.00,2.37,49.41,30.65
843.00,0.00,48.63,20.00,0.00,100.00,2.83,33.40,15.14
702.00,0.00,37.95,1.00,0.00,78.00,4.56,18.12,17.37
761.00,0.00,48.87,18.00,0.00,124.00,20.36,29.36,25.40
816.00,0.00,58.61,16.00,2.00,143.00,14.84,36.87,32.67
702.00,0.00,27.56,0.00,3.00,50.00,0.29,17.98,4.16
714.00,1.00,43.61,0.00,4.00,102.00,4.37,26.99,26.03
712.00,0.00,19.97,89.00,2.00,72.00,3.75,32.23,16.05
854.00,0.00,51.22,3.00,4.00,118.00,2.56,32.76,31.46
909.00,0.00,63.37,2.00,6.00,168.00,9.37,48.88,46.38
870.00,0.00,62.05,1.00,12.00,206.00,4.83,98.06,41.05
905.00,0.00,66.90,2.00,4.00,188.00,3.41,55.17,62.53
859.00,0.00,84.85,43.00,0.00,188.00,20.71,30.44,51.99
889.00,0.67,57.89,10.00,0.00,117.00,3.85,15.57,39.02
734.00,0.00,37.31,9.00,0.00,81.00,4.87,18.60,20.22
829.00,0.00,64.61,7.00,3.00,146.00,17.97,27.35,36.07
866.00,0.00,64.71,2.00,0.00,153.00,8.73,36.83,42.72
727.00,0.00,31.10,0.00,0.00,53.00,0.95,5.41,15.54
765.00,0.00,36.54,24.00,0.00,67.00,0.00,21.52,8.94
742.00,0.00,21.66,0.00,2.00,65.00,5.57,26.39,11.38
836.00,0.00,63.06,12.00,6.00,144.00,6.05,40.47,34.42
852.00,0.00,70.76,4.00,0.00,166.00,11.67,43.02,40.56
825.00,0.00,53.27,0.00,1.00,172.00,11.32,60.12,47.29
862.00,0.00,46.10,0.00,8.00,107.00,2.49,33.98,24.43
852.00,0.00,44.42,0.00,2.00,104.00,1.93,34.99,22.66
892.00,0.00,44.78,0.00,3.00,148.00,4.31,72.39,26.52
803.00,0.00,46.84,4.00,1.00,119.00,10.38,35.68,26.10
851.00,0.00,47.35,16.00,2.00,158.00,11.66,67.35,31.64
893.00,0.00,66.21,1.00,2.00,181.00,15.64,51.55,47.60
759.00,0.00,27.84,0.00,0.00,64.00,2.00,19.64,14.51
755.00,0.00,29.38,0.00,1.00,56.00,1.04,16.98,8.60
701.00,0.00,29.48,0.00,6.00,81.00,2.88,35.77,12.87
771.00,0.00,48.20,1.00,1.00,132.00,7.61,46.03,30.16
773.00,0.00,46.25,3.00,10.00,141.00,13.03,43.06,38.66
752.00,0.00,41.17,6.00,3.00,114.00,5.34,38.44,29.06
777.00,0.00,30.69,2.00,0.00,100.00,6.26,26.40,36.66
810.00,0.00,35.90,5.00,0.00,100.00,4.00,34.60,25.49
845.00,0.00,60.23,15.00,0.00,154.00,6.86,41.29,45.63
691.00,0.00,62.93,24.00,1.00,170.00,12.54,50.30,44.22
745.00,0.00,31.14,13.00,1.00,96.00,12.98,32.02,19.86
754.00,0.00,26.43,1.00,1.00,73.00,4.64,26.12,15.80
681.00,0.00,37.04,0.00,0.00,115.00,2.35,62.52,13.09
700.00,0.00,39.17,0.00,1.00,89.00,3.84,25.10,20.89
657.00,0.00,38.54,0.00,0.00,94.00,4.59,30.43,20.45
727.00,0.00,37.96,5.00,3.00,111.00,4.63,47.89,20.52
724.00,0.00,38.03,2.00,10.00,151.00,3.16,86.54,23.27
705.00,0.00,29.85,0.00,10.00,106.00,3.66,41.30,31.18
718.00,0.00,45.40,2.00,5.00,124.00,2.21,47.06,29.33
739.00,0.00,58.12,0.00,0.00,123.00,1.53,40.93,22.42
805.00,0.00,52.91,0.00,4.00,127.00,0.68,49.18,24.23
669.00,0.00,56.41,33.00,0.00,144.00,10.48,52.68,24.43
723.00,0.00,67.63,42.00,0.00,214.00,29.38,68.36,48.64
721.00,0.00,53.35,3.00,0.00,134.00,7.37,54.95,18.33
655.00,1.00,20.04,0.00,0.00,68.00,3.40,28.96,14.60
692.00,0.00,20.48,0.00,0.00,46.00,0.00,14.91,10.61
662.00,0.00,18.49,1.00,0.00,56.00,0.77,23.00,13.75
703.00,0.00,44.26,1.00,1.00,116.00,2.68,32.11,36.95
693.00,0.00,76.07,3.00,2.00,216.00,5.54,68.07,66.32
694.00,0.00,59.77,2.00,4.00,180.00,6.36,60.50,53.37
725.00,0.00,45.78,0.00,7.00,126.00,1.92,47.60,30.71
732.00,1.00,56.82,1.00,2.00,159.00,3.08,63.19,34.91
773.00,0.00,53.08,4.00,1.00,152.00,4.72,65.26,28.93
646.00,0.00,26.77,8.00,1.00,80.00,5.19,30.93,17.11
691.00,0.00,36.70,0.00,0.00,74.00,2.41,24.97,9.91
668.00,0.00,40.80,1.00,0.00,93.00,1.98,27.12,23.10
613.00,0.00,18.58,7.00,1.00,51.00,0.01,10.20,22.21
608.00,0.00,27.10,20.00,0.00,79.00,1.42,25.58,24.90
581.00,0.00,24.94,1.00,0.00,65.00,0.00,26.34,13.72
644.00,0.00,43.07,4.00,1.00,146.00,2.75,56.40,43.78
629.00,0.00,43.23,3.00,1.00,141.00,8.17,50.45,39.15
621.00,0.00,25.74,4.00,6.00,92.00,5.61,32.70,27.95
626.00,0.76,31.59,0.00,3.00,106.00,1.22,46.50,25.94
676.00,0.00,23.16,0.00,1.00,60.00,0.00,24.57,12.26
730.00,0.00,29.72,0.00,3.00,84.00,1.51,30.62,22.15
599.00,0.00,20.88,0.00,1.00,52.00,0.12,14.86,16.15
633.00,0.00,21.66,2.00,1.00,74.00,7.16,27.98,17.20
647.00,0.00,29.44,0.00,0.00,70.00,0.84,18.73,20.99
619.00,0.00,16.65,2.00,0.00,50.00,0.00,21.77,11.57
627.00,0.00,17.35,2.00,2.00,64.00,0.00,36.53,10.11
616.00,0.00,16.94,1.00,1.00,71.00,0.88,36.02,17.16
666.00,0.00,40.04,14.00,4.00,115.00,3.31,49.93,21.72
682.00,1.00,46.21,3.00,1.00,118.00,6.11,34.74,29.93
658.00,0.00,40.06,6.00,4.00,117.00,5.93,40.33,30.69
669.00,0.00,31.89,2.00,0.00,97.00,2.51,35.03,27.57
643.00,0.00,42.83,5.00,5.00,141.00,6.11,50.25,41.81
802.00,0.00,60.04,6.00,4.00,177.00,2.70,72.25,42.01
714.00,0.00,38.60,18.00,0.00,101.00,1.85,36.51,24.05
793.00,0.00,41.41,56.00,2.00,140.00,2.57,62.84,33.18
779.00,0.00,69.50,36.00,0.00,168.00,4.89,58.43,35.18
698.00,0.00,41.99,12.00,1.00,127.00,1.54,55.90,27.57
635.00,0.00,34.55,4.00,0.00,83.00,3.14,24.71,20.60
616.00,0.00,31.70,10.00,0.00,103.00,0.97,43.95,26.38
647.00,0.00,55.23,16.00,4.00,129.00,1.74,36.91,35.13
640.00,0.00,74.33,17.00,1.00,167.00,6.81,38.39,47.47
635.00,0.00,72.35,13.00,1.00,170.00,5.63,46.81,45.21
676.00,0.00,52.06,4.00,2.00,141.00,5.88,49.70,33.36
666.00,0.00,38.86,2.00,2.00,113.00,5.71,48.50,19.93
738.00,1.00,62.87,14.00,1.00,148.00,2.92,56.91,24.30
665.00,1.63,61.20,24.00,2.00,178.00,6.97,84.26,23.93
710.00,0.00,49.19,8.00,1.00,157.00,6.83,70.68,30.30
504.00,1.00,35.14,10.00,0.00,117.00,6.53,50.31,24.01
460.00,0.00,22.39,1.00,0.00,53.00,0.00,19.59,11.02
452.00,0.00,23.05,0.00,0.00,71.00,1.84,33.20,12.91
435.00,0.00,21.42,4.00,0.00,69.00,2.87,26.82,17.89
427.00,0.00,34.78,1.00,0.00,93.00,1.42,33.87,22.93
422.00,0.00,34.86,3.00,4.00,105.00,3.35,34.48,32.31
413.00,0.00,24.67,2.00,3.00,101.00,2.23,52.49,21.61
442.00,0.00,26.12,1.00,0.00,120.00,4.06,61.00,28.83
440.00,0.00,31.71,3.00,1.00,126.00,1.88,62.46,29.95
430.00,0.00,33.88,15.00,0.00,129.00,10.32,49.29,35.50
383.00,0.00,22.38,1.00,0.00,63.00,1.27,22.04,17.31
412.00,0.00,27.07,2.00,0.00,93.00,2.27,45.06,18.60
407.00,0.00,40.95,5.00,0.00,135.00,2.08,57.21,34.76
392.00,0.00,21.06,3.00,1.00,104.00,1.10,57.20,24.63
387.00,0.00,35.27,5.00,1.00,81.00,0.56,30.96,14.21
373.00,0.00,17.01,3.00,0.00,58.00,0.05,33.68,7.26
375.00,0.00,39.17,5.00,2.00,96.00,2.00,33.74,21.09
365.00,0.00,44.06,7.00,2.00,126.00,4.71,35.73,41.50
352.00,0.00,28.22,1.00,3.00,80.00,0.28,35.13,16.38
335.00,0.00,18.05,0.00,0.00,51.00,0.69,20.44,11.82
354.00,0.00,23.94,0.00,1.00,77.00,2.58,31.64,18.84
372.00,0.00,32.99,3.00,2.00,103.00,5.01,36.08,28.92
341.00,0.00,24.58,2.00,1.00,79.00,1.61,33.82,18.99
355.00,0.00,26.18,10.00,0.00,58.00,0.11,20.46,11.25
