arr_flights,security_ct,carrier_ct,arr_cancelled,arr_diverted,arr_del15,weather_ct,nas_ct,late_aircraft_ct
379.00,0.91,36.06,10.00,0.00,102.00,1.51,17.75,45.77
427.00,0.00,33.66,1.00,0.00,92.00,0.00,20.64,37.70
406.00,0.00,30.40,0.00,0.00,62.00,0.00,9.99,21.61
404.00,0.49,23.61,0.00,0.00,71.00,1.00,4.41,41.49
356.00,0.00,34.06,2.00,2.00,82.00,1.57,12.59,33.78
357.00,0.00,36.56,12.00,1.00,90.00,1.06,15.13,37.25
376.00,0.00,37.71,1.00,5.00,139.00,3.45,27.20,70.64
362.00,0.00,51.86,3.00,1.00,122.00,1.90,22.84,45.40
334.00,0.00,36.68,2.00,0.00,86.00,0.83,11.41,37.09
330.00,1.90,38.51,0.00,0.00,98.00,0.00,11.47,46.12
322.00,0.00,28.00,1.00,0.00,82.00,0.65,16.85,36.50
260.00,0.00,23.27,1.00,0.00,44.00,0.00,4.13,16.60
295.00,0.00,23.06,1.00,1.00,52.00,1.03,8.66,19.25
349.00,0.00,37.91,52.00,0.00,90.00,0.51,9.81,41.77
329.00,0.00,37.07,0.00,1.00,73.00,0.81,7.70,27.42
320.00,0.00,34.81,3.00,0.00,59.00,0.00,4.93,19.26
305.00,0.00,23.91,18.00,1.00,54.00,0.14,3.12,26.84
310.00,0.00,51.71,8.00,0.00,114.00,0.95,9.56,51.79
310.00,0.00,53.76,2.00,5.00,112.00,1.71,8.50,48.04
299.00,0.00,39.89,7.00,0.00,98.00,0.83,3.11,54.18
322.00,0.00,54.22,3.00,2.00,106.00,0.00,10.65,41.13
309.00,0.00,48.88,2.00,3.00,112.00,1.58,8.45,53.09
326.00,0.00,52.40,3.00,4.00,123.00,0.84,18.49,51.27
295.00,0.65,41.33,3.00,0.00,62.00,0.14,3.84,16.04
336.00,0.00,29.62,30.00,0.00,68.00,0.00,8.78,29.60
341.00,0.00,45.54,1.00,1.00,106.00,0.86,4.74,54.86
338.00,0.00,32.56,0.00,0.00,70.00,0.25,5.77,31.42
361.00,0.00,46.48,14.00,1.00,91.00,1.44,5.21,37.88
338.00,0.00,36.44,3.00,1.00,62.00,1.00,5.02,19.54
354.00,0.00,52.12,6.00,2.00,115.00,3.78,10.90,48.20
355.00,0.00,48.40,12.00,0.00,123.00,1.80,8.25,64.55
344.00,0.00,51.90,11.00,1.00,117.00,1.38,11.31,52.41
344.00,0.00,33.16,1.00,0.00,70.00,0.67,1.60,34.56
313.00,0.00,20.95,1.00,1.00,40.00,1.95,4.68,12.42
306.00,0.00,21.72,4.00,0.00,51.00,1.73,3.79,23.77
188.00,0.00,21.46,19.00,0.00,39.00,1.99,7.92,7.63
222.00,0.00,12.35,3.00,1.00,30.00,0.00,9.75,7.89
247.00,0.00,31.97,0.00,1.00,48.00,0.44,5.87,9.73
273.00,0.00,8.20,1.00,0.00,15.00,1.00,3.70,2.10
252.00,0.00,3.97,0.00,0.00,9.00,0.00,1.24,3.79
258.00,0.25,10.43,0.00,0.00,17.00,0.00,3.54,2.78
339.00,0.00,9.34,3.00,1.00,29.00,3.66,10.14,5.86
337.00,0.00,11.51,1.00,0.00,33.00,2.86,8.38,10.25
263.00,0.00,11.91,0.00,0.00,26.00,0.62,5.78,7.69
222.00,0.00,2.75,9.00,0.00,7.00,1.00,1.44,1.81
345.00,0.00,3.92,124.00,0.00,5.00,0.00,1.00,0.08
385.00,0.00,12.46,34.00,0.00,22.00,0.00,4.16,5.38
279.00,0.00,9.99,1.00,0.00,40.00,0.00,10.77,19.24
324.00,0.00,19.07,1.00,0.00,34.00,1.00,3.33,10.60
469.00,0.64,48.43,1.00,0.00,88.00,0.00,5.99,32.94
447.00,0.00,29.17,0.00,0.00,49.00,0.00,4.76,15.07
412.00,0.00,30.49,1.00,1.00,78.00,0.37,15.59,31.55
424.00,0.00,14.98,23.00,1.00,34.00,0.00,5.39,13.63
474.00,0.63,39.87,2.00,1.00,116.00,2.82,25.24,47.44
503.00,0.83,51.08,3.00,1.00,124.00,1.85,19.51,50.73
487.00,0.00,46.17,2.00,0.00,118.00,2.11,27.27,42.46
498.00,1.00,33.38,3.00,0.00,90.00,2.49,13.57,39.57
494.00,1.00,24.37,15.00,0.00,76.00,0.00,11.28,39.35
506.00,0.32,31.59,10.00,1.00,68.00,0.38,4.49,31.22
396.00,0.00,39.62,5.00,0.00,87.00,1.51,9.55,36.32
450.00,1.00,32.66,2.00,1.00,82.00,2.43,13.43,32.48
468.00,1.62,52.83,0.00,0.00,134.00,0.06,22.45,57.04
459.00,0.00,36.11,1.00,0.00,115.00,1.91,16.36,60.62
459.00,0.00,28.42,0.00,0.00,73.00,1.26,8.31,35.01
435.00,1.00,20.50,0.00,1.00,50.00,1.00,4.10,23.39
467.00,0.00,41.15,2.00,1.00,97.00,0.00,14.32,41.54
500.00,0.00,56.26,9.00,1.00,141.00,4.01,19.80,60.93
486.00,0.00,39.41,2.00,3.00,132.00,5.21,24.79,62.59
492.00,1.00,49.71,7.00,0.00,123.00,3.26,13.10,55.93
463.00,0.00,40.94,1.00,0.00,106.00,3.15,18.85,43.06
391.00,0.00,23.58,4.00,1.00,54.00,0.39,8.24,21.79
287.00,0.85,24.76,3.00,1.00,62.00,1.65,7.11,27.63
333.00,0.00,19.90,8.00,2.00,54.00,2.04,10.04,22.02
377.00,0.00,39.81,5.00,0.00,101.00,2.14,9.21,49.84
364.00,0.00,14.28,0.00,1.00,29.00,0.00,1.45,13.27
357.00,0.00,21.25,1.00,0.00,44.00,0.00,5.11,17.64
338.00,0.00,13.64,42.00,0.00,40.00,2.92,9.82,13.62
378.00,0.00,35.26,9.00,2.00,96.00,0.94,15.91,43.90
394.00,0.00,39.21,2.00,0.00,111.00,5.09,16.44,50.26
388.00,0.00,36.35,2.00,3.00,110.00,1.18,16.24,56.23
419.00,0.00,28.72,0.00,2.00,91.00,3.03,16.92,42.33
397.00,0.00,23.16,2.00,1.00,72.00,0.78,14.08,33.98
385.00,0.00,25.63,6.00,0.00,58.00,0.19,8.09,24.08
294.00,0.00,10.61,0.00,0.00,29.00,0.73,5.17,12.49
336.00,0.00,21.04,4.00,0.00,71.00,1.60,11.85,36.51
382.00,0.00,38.79,5.00,0.00,90.00,1.12,5.64,44.45
362.00,0.00,19.44,0.00,0.00,50.00,0.00,8.69,21.87
360.00,0.00,12.81,25.00,2.00,42.00,0.00,3.70,25.49
347.00,0.00,12.78,1.00,1.00,46.00,0.83,5.12,27.26
373.00,0.00,27.39,0.00,0.00,86.00,1.67,9.31,47.63
421.00,0.00,52.76,11.00,0.00,154.00,3.77,14.28,83.19
411.00,0.00,46.98,6.00,0.00,124.00,2.75,13.57,60.69
413.00,0.00,28.49,1.00,0.00,83.00,1.57,8.29,44.65
397.00,0.00,22.56,2.00,0.00,67.00,0.00,10.72,33.73
384.00,0.00,16.82,1.00,0.00,59.00,0.00,7.44,34.75
