arr_flights,security_ct,carrier_ct,arr_cancelled,arr_diverted,arr_del15,weather_ct,nas_ct,late_aircraft_ct
3782.00,4.45,261.30,86.00,9.00,1057.00,9.39,364.96,416.90
4068.00,8.00,209.36,23.00,2.00,895.00,6.73,293.66,377.24
3856.00,1.40,199.87,3.00,0.00,600.00,0.35,105.39,292.99
3732.00,2.09,194.96,7.00,0.00,625.00,1.85,78.76,347.34
2839.00,1.39,156.57,7.00,23.00,573.00,20.84,168.33,225.87
3265.00,1.95,212.87,40.00,14.00,756.00,17.83,196.65,326.69
3614.00,6.40,308.09,32.00,26.00,1372.00,33.67,437.97,585.87
3437.00,2.76,260.30,19.00,57.00,1133.00,34.14,351.19,484.61
3654.00,2.00,207.27,13.00,18.00,758.00,12.92,181.45,354.36
3677.00,3.81,264.22,46.00,13.00,1043.00,13.04,280.74,481.19
3716.00,1.97,219.41,40.00,7.00,1051.00,14.37,419.39,395.86
2971.00,0.91,140.09,30.00,8.00,394.00,2.16,80.65,170.19
3125.00,2.20,181.38,59.00,2.00,573.00,5.98,143.42,240.03
3291.00,2.00,326.96,436.00,1.00,851.00,8.22,144.79,369.04
2924.00,0.94,212.00,138.00,2.00,591.00,2.80,123.06,252.19
3003.00,0.61,206.18,33.00,2.00,455.00,4.02,44.07,200.12
2825.00,1.49,236.85,228.00,20.00,679.00,15.08,142.04,283.54
3087.00,5.80,335.53,76.00,17.00,992.00,16.53,202.64,431.49
3132.00,5.46,357.32,40.00,17.00,1173.00,21.21,339.10,449.91
2938.00,1.37,319.71,87.00,15.00,1015.00,18.78,284.71,390.43
3063.00,0.00,295.77,16.00,15.00,806.00,9.86,186.07,314.30
2956.00,1.07,342.66,159.00,14.00,822.00,10.12,129.45,338.70
3281.00,6.37,323.89,102.00,21.00,1119.00,12.82,358.40,417.51
2691.00,1.20,240.47,71.00,0.00,556.00,5.66,87.21,221.45
3038.00,0.13,240.48,156.00,1.00,562.00,7.05,110.86,203.48
3101.00,2.27,268.30,19.00,1.00,683.00,1.48,97.34,313.61
3099.00,2.44,219.86,12.00,0.00,527.00,3.20,83.22,218.29
3265.00,2.23,311.51,166.00,2.00,759.00,7.46,102.67,335.14
2922.00,3.00,216.63,75.00,4.00,470.00,1.71,68.31,180.35
3580.00,0.86,397.23,147.00,25.00,1075.00,21.83,237.80,417.29
3600.00,4.25,404.63,64.00,24.00,1079.00,20.83,198.23,451.06
3490.00,4.84,423.89,153.00,46.00,1138.00,26.06,230.89,452.33
3322.00,1.85,225.74,7.00,7.00,532.00,6.31,81.60,216.51
3130.00,1.88,122.16,44.00,23.00,402.00,4.51,133.44,140.02
3040.00,1.35,146.05,34.00,0.00,420.00,6.55,96.09,169.97
